experiment_id,game_index,checkpoint_turn,cohort,checkpoint_leader,winner,global_strict_persistence_turn,post_checkpoint_takeover_turn,absolute_turn,relative_to_checkpoint,relative_to_takeover,takeover_decisive_layer,final_decisive_layer,mechanism_secured_objective_reversal,mechanism_advantage_conversion_reversal,mechanism_objective_piece_tiebreak_reversal,mechanism_supply_degradation,mechanism_supply_reinvestment,mechanism_mixed,secured_objective_reversal_event_turns,advantage_conversion_event_turns,objective_piece_tiebreak_event_turns,supply_baseline_start_turn,supply_baseline_end_turn,supply_lookback_start_turn,supply_lookback_end_turn,leader_baseline_usable_support_edges,leader_lookback_usable_support_edges,leader_usable_support_edge_delta,winner_baseline_usable_support_edges,winner_lookback_usable_support_edges,winner_usable_support_edge_delta,configured_support_edge_change_threshold,leader_baseline_supply_source_usage_mean,leader_lookback_supply_source_usage_mean,configured_usage_mean_change_threshold,winner_baseline_supply_placement_mean,winner_lookback_supply_placement_mean,configured_placement_mean_change_threshold,indicator_degradation_unsecured_control_loss,indicator_degradation_important_control_loss,indicator_degradation_support_edge_decline,indicator_degradation_source_usage_decline,indicator_reinvestment_supply_placement_increase,indicator_reinvestment_new_secured_supply,indicator_reinvestment_important_control_gain,indicator_reinvestment_support_edge_increase,degradation_indicator_count,reinvestment_indicator_count,configured_minimum_indicators,turn_number,mover,next_mover,final_result,p1_secured_objectives,p2_secured_objectives,secured_objective_difference,p1_advantage_objectives,p2_advantage_objectives,advantage_objective_difference,p1_objective_pieces,p2_objective_pieces,objective_piece_difference,p1_secured_supply,p2_secured_supply,secured_supply_difference,p1_unsecured_controlled_supply,p2_unsecured_controlled_supply,unsecured_controlled_supply_difference,p1_supply_placements,p2_supply_placements,p1_objective_placements,p2_objective_placements,p1_cumulative_supply_placements,p2_cumulative_supply_placements,p1_cumulative_objective_placements,p2_cumulative_objective_placements,p1_cumulative_supply_source_usage,p2_cumulative_supply_source_usage,supply_source_usage_difference,important_supply_source_uses_this_turn,p1_cumulative_important_supply_source_usage,p2_cumulative_important_supply_source_usage,p1_primary_important_sites_controlled,p2_primary_important_sites_controlled,primary_important_control_difference,p1_primary_important_site_list,p2_primary_important_site_list,new_secured_objectives_p1,new_secured_objectives_p2,advantage_gains_p1,advantage_gains_p2,advantage_losses_p1,advantage_losses_p2,objective_piece_difference_change,new_secured_supply_p1,new_secured_supply_p2,important_control_gains_p1,important_control_gains_p2,important_control_losses_p1,important_control_losses_p2,live_objectives,full_lexicographic_leader,current_decisive_layer,turn_allocation_type,supply_placement_change_from_prior_own_turn,usable_supply_support_edges_p1,unsecured_control_losses_p1,contested_supply_points_p1,supply_placements_p1,objective_placements_p1,supply_source_uses_p1,important_supply_source_uses_p1,supply_source_uses_after_securing_p1,objective_advantage_to_neutral_p1,objective_advantage_to_opponent_p1,usable_supply_support_edges_p2,unsecured_control_losses_p2,contested_supply_points_p2,supply_placements_p2,objective_placements_p2,supply_source_uses_p2,important_supply_source_uses_p2,supply_source_uses_after_securing_p2,objective_advantage_to_neutral_p2,objective_advantage_to_opponent_p2,secured_objectives_p1,secured_objectives_p2,secured_objectives_p1_minus_p2,secured_objectives_checkpoint_leader_relative,secured_objectives_eventual_winner_relative,advantage_objectives_p1,advantage_objectives_p2,advantage_objectives_p1_minus_p2,advantage_objectives_checkpoint_leader_relative,advantage_objectives_eventual_winner_relative,objective_pieces_p1,objective_pieces_p2,objective_pieces_p1_minus_p2,objective_pieces_checkpoint_leader_relative,objective_pieces_eventual_winner_relative,secured_supply_p1,secured_supply_p2,secured_supply_p1_minus_p2,secured_supply_checkpoint_leader_relative,secured_supply_eventual_winner_relative,unsecured_controlled_supply_p1,unsecured_controlled_supply_p2,unsecured_controlled_supply_p1_minus_p2,unsecured_controlled_supply_checkpoint_leader_relative,unsecured_controlled_supply_eventual_winner_relative,usable_supply_support_edges_p1_minus_p2,usable_supply_support_edges_checkpoint_leader_relative,usable_supply_support_edges_eventual_winner_relative
uct-10000-self-play,1,8,reversal,2,1,15,15,18,10,3,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,18,2,1,p1_win,4,3,1,1,2,-1,13,13,0,3,1,2,0,2,-2,0,1,0,2,14,14,13,13,13,13,0,2,7,13,2,2,0,S13;S22,S12;S23,0,1,0,0,0,1,-2,0,0,0,0,0,0,9,1,secured_objectives,mixed,1,4,0,7,0,0,0,0,0,0,0,6,0,7,1,2,2,2,1,0,0,4,3,1,-1,1,1,2,-1,1,-1,13,13,0,0,0,3,1,2,-2,2,0,2,-2,2,-2,-2,2,-2
uct-10000-self-play,1,8,reversal,2,1,15,15,19,11,4,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,19,1,2,p1_win,4,3,1,2,2,0,14,13,1,3,1,2,0,0,0,2,0,1,0,16,14,14,13,14,13,1,1,8,13,2,1,1,S13;S22,S23,0,0,1,0,0,0,1,0,0,0,0,0,1,9,1,secured_objectives,mixed,1,4,0,8,2,1,1,1,1,0,0,1,2,8,0,0,0,0,0,0,0,4,3,1,-1,1,2,2,0,0,0,14,13,1,-1,1,3,1,2,-2,2,0,0,0,0,0,3,-3,3
uct-10000-self-play,1,8,reversal,2,1,15,15,20,12,5,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,20,2,1,p1_win,4,3,1,2,3,-1,14,14,0,3,2,1,0,1,-1,0,2,0,1,16,16,14,14,14,14,0,1,8,14,2,2,0,S13;S22,S12;S23,0,0,0,1,0,0,-1,0,1,0,1,0,0,9,1,secured_objectives,mixed,1,4,0,8,0,0,0,0,0,0,0,6,0,8,2,1,1,1,1,0,0,4,3,1,-1,1,2,3,-1,1,-1,14,14,0,0,0,3,2,1,-1,1,0,1,-1,1,-1,-2,2,-2
uct-10000-self-play,1,8,reversal,2,1,15,15,21,13,6,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,21,1,2,p1_win,4,3,1,2,2,0,17,14,3,3,2,1,0,1,-1,0,0,3,0,16,16,17,14,17,14,3,2,10,14,2,2,0,S13;S22,S12;S23,0,0,0,0,0,1,3,0,0,0,0,0,0,9,1,secured_objectives,all_objective,-2,4,0,8,0,3,3,2,3,0,0,6,0,8,0,0,0,0,0,1,0,4,3,1,-1,1,2,2,0,0,0,17,14,3,-3,3,3,2,1,-1,1,0,1,-1,1,-1,-2,2,-2
uct-10000-self-play,1,8,reversal,2,1,15,15,22,14,7,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,22,2,1,p1_win,4,4,0,2,2,0,17,16,1,3,2,1,0,2,-2,0,1,0,2,16,17,17,16,17,16,1,2,10,16,2,3,-1,S13;S22,S12;S21;S23,0,1,0,1,0,1,-2,0,0,0,1,0,0,8,1,objective_pieces,mixed,-1,4,0,8,0,0,0,0,0,0,0,6,0,8,1,2,2,2,1,0,0,4,4,0,0,0,2,2,0,0,0,17,16,1,-1,1,3,2,1,-1,1,0,2,-2,2,-2,-2,2,-2
uct-10000-self-play,1,8,reversal,2,1,15,15,23,15,8,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,23,1,2,p1_win,5,4,1,1,1,0,19,16,3,3,2,1,0,1,-1,1,0,2,0,17,17,19,16,19,16,3,1,11,16,2,2,0,S13;S22,S12;S23,1,0,0,0,1,1,2,0,0,0,0,0,1,7,1,secured_objectives,mixed,1,3,0,8,1,2,2,1,2,0,0,3,1,8,0,0,0,0,0,1,0,5,4,1,-1,1,1,1,0,0,0,19,16,3,-3,3,3,2,1,-1,1,0,1,-1,1,-1,0,0,0
uct-10000-self-play,1,8,reversal,2,1,15,15,24,16,9,secured_objectives,secured_objectives,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2,24,2,,p1_win,5,4,1,1,1,0,19,16,3,3,2,1,0,3,-3,0,3,0,0,17,20,19,16,19,16,3,0,11,16,2,2,0,S13;S22,S12;S23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,secured_objectives,all_supply,2,3,0,8,0,0,0,0,0,0,0,5,0,8,3,0,0,0,0,0,0,5,4,1,-1,1,1,1,0,0,0,19,16,3,-3,3,3,2,1,-1,1,0,3,-3,3,-3,-2,2,-2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,12,0,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,1,p1_win,1,1,0,2,1,1,6,5,1,2,1,1,0,2,-2,0,2,0,1,12,13,6,5,6,5,1,1,2,5,1,3,-2,S22,S12;S21;S23,0,0,0,0,0,0,-1,0,0,0,1,1,0,14,1,advantage_objectives,mixed,0,5,1,6,0,0,0,0,0,0,0,11,0,6,2,1,1,1,0,0,0,1,1,0,0,0,2,1,1,1,1,6,5,1,1,1,2,1,1,1,1,0,2,-2,-2,-2,-6,-6,-6
uct-10000-self-play,1,12,lead_preserved,1,1,15,,13,1,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2,p1_win,1,1,0,3,1,2,8,5,3,3,1,2,0,2,-2,1,0,2,0,13,13,8,5,8,5,3,1,3,5,2,3,-1,S13;S22,S12;S21;S23,0,0,1,0,0,0,2,1,0,1,0,0,0,14,1,advantage_objectives,mixed,-1,9,0,6,1,2,2,1,2,0,0,11,0,6,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2,2,2,8,5,3,3,3,3,1,2,2,2,0,2,-2,-2,-2,-2,-2,-2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,14,2,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,1,p1_win,1,2,-1,3,2,1,8,8,0,3,1,2,0,2,-2,0,0,0,3,13,13,8,8,8,8,0,3,3,8,2,3,-1,S13;S22,S12;S21;S23,0,1,0,2,0,1,-3,0,0,0,0,0,0,13,-1,secured_objectives,all_objective,-2,8,0,6,0,0,0,0,0,0,0,9,0,6,0,3,3,3,1,0,0,1,2,-1,-1,-1,3,2,1,1,1,8,8,0,0,0,3,1,2,2,2,0,2,-2,-2,-2,-1,-1,-1
uct-10000-self-play,1,12,lead_preserved,1,1,15,,15,3,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,2,p1_win,3,2,1,1,2,-1,11,8,3,3,1,2,0,2,-2,0,0,3,0,13,13,11,8,11,8,3,2,5,8,2,3,-1,S13;S22,S12;S21;S23,2,0,0,0,2,0,3,0,0,0,0,0,0,11,1,secured_objectives,all_objective,-1,6,0,6,0,3,3,2,3,0,0,8,0,6,0,0,0,0,0,0,0,3,2,1,1,1,1,2,-1,-1,-1,11,8,3,3,3,3,1,2,2,2,0,2,-2,-2,-2,-2,-2,-2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,16,4,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,1,p1_win,3,2,1,1,3,-2,11,11,0,3,1,2,0,2,-2,0,0,0,3,13,13,11,11,11,11,0,3,5,11,2,3,-1,S13;S22,S12;S21;S23,0,0,0,1,0,0,-3,0,0,0,0,0,0,11,1,secured_objectives,all_objective,0,6,0,6,0,0,0,0,0,0,0,8,0,6,0,3,3,3,1,0,0,3,2,1,1,1,1,3,-2,-2,-2,11,11,0,0,0,3,1,2,2,2,0,2,-2,-2,-2,-2,-2,-2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,17,5,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2,p1_win,4,2,2,1,3,-2,13,11,2,3,1,2,0,1,-1,1,0,2,0,14,13,13,11,13,11,2,2,7,11,2,2,0,S13;S22,S12;S23,1,0,1,0,1,0,2,0,0,0,0,0,1,10,1,secured_objectives,mixed,1,4,0,7,1,2,2,2,2,0,0,4,1,7,0,0,0,0,0,0,0,4,2,2,2,2,1,3,-2,-2,-2,13,11,2,2,2,3,1,2,2,2,0,1,-1,-1,-1,0,0,0
uct-10000-self-play,1,12,lead_preserved,1,1,15,,18,6,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,1,p1_win,4,3,1,1,2,-1,13,13,0,3,1,2,0,2,-2,0,1,0,2,14,14,13,13,13,13,0,2,7,13,2,2,0,S13;S22,S12;S23,0,1,0,0,0,1,-2,0,0,0,0,0,0,9,1,secured_objectives,mixed,1,4,0,7,0,0,0,0,0,0,0,6,0,7,1,2,2,2,1,0,0,4,3,1,1,1,1,2,-1,-1,-1,13,13,0,0,0,3,1,2,2,2,0,2,-2,-2,-2,-2,-2,-2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,19,7,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,2,p1_win,4,3,1,2,2,0,14,13,1,3,1,2,0,0,0,2,0,1,0,16,14,14,13,14,13,1,1,8,13,2,1,1,S13;S22,S23,0,0,1,0,0,0,1,0,0,0,0,0,1,9,1,secured_objectives,mixed,1,4,0,8,2,1,1,1,1,0,0,1,2,8,0,0,0,0,0,0,0,4,3,1,1,1,2,2,0,0,0,14,13,1,1,1,3,1,2,2,2,0,0,0,0,0,3,3,3
uct-10000-self-play,1,12,lead_preserved,1,1,15,,20,8,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,1,p1_win,4,3,1,2,3,-1,14,14,0,3,2,1,0,1,-1,0,2,0,1,16,16,14,14,14,14,0,1,8,14,2,2,0,S13;S22,S12;S23,0,0,0,1,0,0,-1,0,1,0,1,0,0,9,1,secured_objectives,mixed,1,4,0,8,0,0,0,0,0,0,0,6,0,8,2,1,1,1,1,0,0,4,3,1,1,1,2,3,-1,-1,-1,14,14,0,0,0,3,2,1,1,1,0,1,-1,-1,-1,-2,-2,-2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,21,9,,,secured_objectives,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,2,p1_win,4,3,1,2,2,0,17,14,3,3,2,1,0,1,-1,0,0,3,0,16,16,17,14,17,14,3,2,10,14,2,2,0,S13;S22,S12;S23,0,0,0,0,0,1,3,0,0,0,0,0,0,9,1,secured_objectives,all_objective,-2,4,0,8,0,3,3,2,3,0,0,6,0,8,0,0,0,0,0,1,0,4,3,1,1,1,2,2,0,0,0,17,14,3,3,3,3,2,1,1,1,0,1,-1,-1,-1,-2,-2,-2
