"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-uct-0500","1","1","4","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-uct-0500","1","2","5","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","1","3","6","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","1","4","7","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","1","5","8","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","6","9","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","7","10","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","1","8","11","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","9","12","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","1","10","13","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","11","14","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","1","12","15","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","13","16","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","1","14","17","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","1","15","18","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","1","16","19","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","1","17","20","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","18","21","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","1","19","22","4","12","0.815465","0.166667","0.166667","0.666667"
"6x6","6x6-uct-0500","1","20","23","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","21","24","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-uct-0500","1","22","25","4","12","0.700727","0.416667","0.263889","0.666667"
"6x6","6x6-uct-0500","1","23","26","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","24","27","4","12","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-uct-0500","1","25","28","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","1","26","29","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","1","27","30","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","28","31","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-uct-0500","1","29","32","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","30","33","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","31","34","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","1","32","35","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","1","33","36","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","1","34","37","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","35","38","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","36","39","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-uct-0500","1","37","40","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-uct-0500","1","38","41","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-uct-0500","1","39","42","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-uct-0500","1","40","43","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","1","41","44","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","1","42","45","4","12","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-uct-0500","1","43","46","4","12","0.667994","0.416667","0.263889","0.555556"
"6x6","6x6-uct-0500","1","44","47","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-uct-0500","1","45","48","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","2","1","4","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","2","2","5","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-uct-0500","2","3","6","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","4","7","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","2","5","8","4","12","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-uct-0500","2","6","9","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-uct-0500","2","7","10","4","12","0.618042","0.500000","0.319444","0.555556"
"6x6","6x6-uct-0500","2","8","11","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-uct-0500","2","9","12","4","12","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-uct-0500","2","10","13","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","11","14","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","2","12","15","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","13","16","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","2","14","17","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","2","15","18","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","2","16","19","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","2","17","20","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","2","18","21","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","2","19","22","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","2","20","23","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","21","24","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","2","22","25","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","2","23","26","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","2","24","27","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","2","25","28","4","12","0.755930","0.250000","0.208333","0.666667"
"6x6","6x6-uct-0500","2","26","29","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","2","27","30","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","28","31","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","2","29","32","4","12","0.595572","0.416667","0.291667","0.444444"
"6x6","6x6-uct-0500","2","30","33","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","2","31","34","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","2","32","35","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","2","33","36","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","34","37","4","12","0.848197","0.250000","0.166667","0.777778"
