"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"6x6","6x6-uct-1000","1000","1","41","0.854167","3","1","S32","supply","","ML"
"6x6","6x6-uct-1000","1000","1","42","0.875000","1","2","O35","objective","S35","MH"
"6x6","6x6-uct-1000","1000","1","42","0.875000","2","2","O02","objective","S02","LM"
"6x6","6x6-uct-1000","1000","1","42","0.875000","3","2","S46","supply","","MH"
"6x6","6x6-uct-1000","1000","1","43","0.895833","1","1","O01","objective","S11","LL"
"6x6","6x6-uct-1000","1000","1","43","0.895833","2","1","S31","supply","","ML"
"6x6","6x6-uct-1000","1000","1","43","0.895833","3","1","S21","supply","","LL"
"6x6","6x6-uct-1000","1000","1","44","0.916667","1","2","O02","objective","S02","LM"
"6x6","6x6-uct-1000","1000","1","44","0.916667","2","2","O13","objective","S23","LM"
"6x6","6x6-uct-1000","1000","1","44","0.916667","3","2","O35","objective","S46","MH"
"6x6","6x6-uct-1000","1000","1","45","0.937500","1","1","O05","objective","S05","LH"
"6x6","6x6-uct-1000","1000","1","45","0.937500","2","1","O21","objective","S21","ML"
"6x6","6x6-uct-1000","1000","1","45","0.937500","3","1","S02","supply","","LL"
"6x6","6x6-uct-1000","1000","1","46","0.958333","1","2","O35","objective","S46","MH"
"6x6","6x6-uct-1000","1000","1","46","0.958333","2","2","O00","objective","S00","LL"
"6x6","6x6-uct-1000","1000","1","46","0.958333","3","2","S61","supply","","HL"
"6x6","6x6-uct-1000","1000","1","47","0.979167","1","1","O21","objective","S21","ML"
"6x6","6x6-uct-1000","1000","1","47","0.979167","2","1","O21","objective","S32","ML"
"6x6","6x6-uct-1000","1000","1","47","0.979167","3","1","S02","supply","","LL"
"6x6","6x6-uct-1000","1000","1","48","1.000000","1","2","O00","objective","S00","LL"
"6x6","6x6-uct-1000","1000","1","48","1.000000","2","2","S54","supply","","HM"
"6x6","6x6-uct-1000","1000","1","48","1.000000","3","2","S63","supply","","HM"
"6x6","6x6-uct-1000","1000","2","1","0.020833","1","1","S43","supply","","MM"
"6x6","6x6-uct-1000","1000","2","1","0.020833","2","1","S24","supply","","LM"
"6x6","6x6-uct-1000","1000","2","1","0.020833","3","1","S40","supply","","ML"
"6x6","6x6-uct-1000","1000","2","2","0.041667","1","2","S22","supply","","LL"
"6x6","6x6-uct-1000","1000","2","2","0.041667","2","2","S35","supply","","MH"
"6x6","6x6-uct-1000","1000","2","2","0.041667","3","2","S54","supply","","HM"
"6x6","6x6-uct-1000","1000","2","3","0.062500","1","1","S02","supply","","LL"
"6x6","6x6-uct-1000","1000","2","3","0.062500","2","1","S40","supply","","ML"
"6x6","6x6-uct-1000","1000","2","3","0.062500","3","1","S30","supply","","ML"
"6x6","6x6-uct-1000","1000","2","4","0.083333","1","2","S46","supply","","MH"
"6x6","6x6-uct-1000","1000","2","4","0.083333","2","2","S55","supply","","HH"
"6x6","6x6-uct-1000","1000","2","4","0.083333","3","2","S21","supply","","LL"
"6x6","6x6-uct-1000","1000","2","5","0.104167","1","1","S30","supply","","ML"
"6x6","6x6-uct-1000","1000","2","5","0.104167","2","1","S55","supply","","HH"
"6x6","6x6-uct-1000","1000","2","5","0.104167","3","1","S36","supply","","MH"
"6x6","6x6-uct-1000","1000","2","6","0.125000","1","2","S64","supply","","HM"
"6x6","6x6-uct-1000","1000","2","6","0.125000","2","2","O21","objective","S21","ML"
"6x6","6x6-uct-1000","1000","2","6","0.125000","3","2","S52","supply","","HL"
"6x6","6x6-uct-1000","1000","2","7","0.145833","1","1","S22","supply","","LL"
"6x6","6x6-uct-1000","1000","2","7","0.145833","2","1","S53","supply","","HM"
"6x6","6x6-uct-1000","1000","2","7","0.145833","3","1","S34","supply","","MM"
"6x6","6x6-uct-1000","1000","2","8","0.166667","1","2","S54","supply","","HM"
"6x6","6x6-uct-1000","1000","2","8","0.166667","2","2","S51","supply","","HL"
"6x6","6x6-uct-1000","1000","2","8","0.166667","3","2","S06","supply","","LH"
"6x6","6x6-uct-1000","1000","2","9","0.187500","1","1","S35","supply","","MH"
"6x6","6x6-uct-1000","1000","2","9","0.187500","2","1","O43","objective","S43","HM"
"6x6","6x6-uct-1000","1000","2","9","0.187500","3","1","O33","objective","S34","MM"
"6x6","6x6-uct-1000","1000","2","10","0.208333","1","2","S14","supply","","LM"
"6x6","6x6-uct-1000","1000","2","10","0.208333","2","2","S50","supply","","HL"
"6x6","6x6-uct-1000","1000","2","10","0.208333","3","2","S06","supply","","LH"
"6x6","6x6-uct-1000","1000","2","11","0.229167","1","1","O42","objective","S43","HM"
"6x6","6x6-uct-1000","1000","2","11","0.229167","2","1","S52","supply","","HL"
"6x6","6x6-uct-1000","1000","2","11","0.229167","3","1","O33","objective","S34","MM"
"6x6","6x6-uct-1000","1000","2","12","0.250000","1","2","S30","supply","","ML"
"6x6","6x6-uct-1000","1000","2","12","0.250000","2","2","O54","objective","S64","HH"
"6x6","6x6-uct-1000","1000","2","12","0.250000","3","2","S66","supply","","HH"
"6x6","6x6-uct-1000","1000","2","13","0.270833","1","1","O24","objective","S24","MH"
"6x6","6x6-uct-1000","1000","2","13","0.270833","2","1","O32","objective","S43","MM"
"6x6","6x6-uct-1000","1000","2","13","0.270833","3","1","S13","supply","","LM"
"6x6","6x6-uct-1000","1000","2","14","0.291667","1","2","S14","supply","","LM"
"6x6","6x6-uct-1000","1000","2","14","0.291667","2","2","S43","supply","","MM"
"6x6","6x6-uct-1000","1000","2","14","0.291667","3","2","O54","objective","S64","HH"
"6x6","6x6-uct-1000","1000","2","15","0.312500","1","1","S30","supply","","ML"
"6x6","6x6-uct-1000","1000","2","15","0.312500","2","1","S44","supply","","MM"
"6x6","6x6-uct-1000","1000","2","15","0.312500","3","1","O23","objective","S34","MM"
"6x6","6x6-uct-1000","1000","2","16","0.333333","1","2","O41","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","16","0.333333","2","2","S34","supply","","MM"
"6x6","6x6-uct-1000","1000","2","16","0.333333","3","2","O05","objective","S06","LH"
"6x6","6x6-uct-1000","1000","2","17","0.354167","1","1","O33","objective","S44","MM"
"6x6","6x6-uct-1000","1000","2","17","0.354167","2","1","S55","supply","","HH"
"6x6","6x6-uct-1000","1000","2","17","0.354167","3","1","O14","objective","S24","LH"
"6x6","6x6-uct-1000","1000","2","18","0.375000","1","2","S16","supply","","LH"
"6x6","6x6-uct-1000","1000","2","18","0.375000","2","2","O41","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","18","0.375000","3","2","O44","objective","S54","HH"
"6x6","6x6-uct-1000","1000","2","19","0.395833","1","1","S35","supply","","MH"
"6x6","6x6-uct-1000","1000","2","19","0.395833","2","1","O13","objective","S24","LM"
"6x6","6x6-uct-1000","1000","2","19","0.395833","3","1","S41","supply","","ML"
"6x6","6x6-uct-1000","1000","2","20","0.416667","1","2","O44","objective","S54","HH"
"6x6","6x6-uct-1000","1000","2","20","0.416667","2","2","O55","objective","S66","HH"
"6x6","6x6-uct-1000","1000","2","20","0.416667","3","2","O05","objective","S06","LH"
"6x6","6x6-uct-1000","1000","2","21","0.437500","1","1","S64","supply","","HM"
"6x6","6x6-uct-1000","1000","2","21","0.437500","2","1","O24","objective","S24","MH"
"6x6","6x6-uct-1000","1000","2","21","0.437500","3","1","O02","objective","S02","LM"
"6x6","6x6-uct-1000","1000","2","22","0.458333","1","2","O45","objective","S46","HH"
"6x6","6x6-uct-1000","1000","2","22","0.458333","2","2","S46","supply","","MH"
"6x6","6x6-uct-1000","1000","2","22","0.458333","3","2","O44","objective","S54","HH"
"6x6","6x6-uct-1000","1000","2","23","0.479167","1","1","O12","objective","S13","LM"
"6x6","6x6-uct-1000","1000","2","23","0.479167","2","1","O43","objective","S53","HM"
"6x6","6x6-uct-1000","1000","2","23","0.479167","3","1","S25","supply","","LH"
"6x6","6x6-uct-1000","1000","2","24","0.500000","1","2","S63","supply","","HM"
"6x6","6x6-uct-1000","1000","2","24","0.500000","2","2","O15","objective","S16","LH"
"6x6","6x6-uct-1000","1000","2","24","0.500000","3","2","O05","objective","S06","LH"
"6x6","6x6-uct-1000","1000","2","25","0.520833","1","1","O13","objective","S13","LM"
"6x6","6x6-uct-1000","1000","2","25","0.520833","2","1","O25","objective","S25","MH"
"6x6","6x6-uct-1000","1000","2","25","0.520833","3","1","O25","objective","S35","MH"
"6x6","6x6-uct-1000","1000","2","26","0.541667","1","2","O54","objective","S54","HH"
"6x6","6x6-uct-1000","1000","2","26","0.541667","2","2","O20","objective","S21","ML"
"6x6","6x6-uct-1000","1000","2","26","0.541667","3","2","O41","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","27","0.562500","1","1","O52","objective","S53","HM"
"6x6","6x6-uct-1000","1000","2","27","0.562500","2","1","O24","objective","S35","MH"
"6x6","6x6-uct-1000","1000","2","27","0.562500","3","1","O43","objective","S44","HM"
"6x6","6x6-uct-1000","1000","2","28","0.583333","1","2","O21","objective","S21","ML"
"6x6","6x6-uct-1000","1000","2","28","0.583333","2","2","O40","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","28","0.583333","3","2","O04","objective","S14","LH"
"6x6","6x6-uct-1000","1000","2","29","0.604167","1","1","O30","objective","S41","ML"
"6x6","6x6-uct-1000","1000","2","29","0.604167","2","1","O13","objective","S24","LM"
"6x6","6x6-uct-1000","1000","2","29","0.604167","3","1","O30","objective","S40","ML"
"6x6","6x6-uct-1000","1000","2","30","0.625000","1","2","O10","objective","S21","LL"
"6x6","6x6-uct-1000","1000","2","30","0.625000","2","2","O40","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","30","0.625000","3","2","O45","objective","S46","HH"
"6x6","6x6-uct-1000","1000","2","31","0.645833","1","1","O30","objective","S30","ML"
"6x6","6x6-uct-1000","1000","2","31","0.645833","2","1","O40","objective","S41","HL"
"6x6","6x6-uct-1000","1000","2","31","0.645833","3","1","O25","objective","S25","MH"
"6x6","6x6-uct-1000","1000","2","32","0.666667","1","2","O52","objective","S63","HM"
"6x6","6x6-uct-1000","1000","2","32","0.666667","2","2","S23","supply","","LM"
"6x6","6x6-uct-1000","1000","2","32","0.666667","3","2","O40","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","33","0.687500","1","1","O02","objective","S13","LM"
"6x6","6x6-uct-1000","1000","2","33","0.687500","2","1","O31","objective","S41","ML"
"6x6","6x6-uct-1000","1000","2","33","0.687500","3","1","O02","objective","S02","LM"
"6x6","6x6-uct-1000","1000","2","34","0.708333","1","2","S12","supply","","LL"
"6x6","6x6-uct-1000","1000","2","34","0.708333","2","2","O55","objective","S66","HH"
"6x6","6x6-uct-1000","1000","2","34","0.708333","3","2","S55","supply","","HH"
"6x6","6x6-uct-1000","1000","2","35","0.729167","1","1","S42","supply","","ML"
"6x6","6x6-uct-1000","1000","2","35","0.729167","2","1","S25","supply","","LH"
"6x6","6x6-uct-1000","1000","2","35","0.729167","3","1","S16","supply","","LH"
"6x6","6x6-uct-1000","1000","2","36","0.750000","1","2","O55","objective","S66","HH"
"6x6","6x6-uct-1000","1000","2","36","0.750000","2","2","O45","objective","S46","HH"
"6x6","6x6-uct-1000","1000","2","36","0.750000","3","2","O21","objective","S21","ML"
"6x6","6x6-uct-1000","1000","2","37","0.770833","1","1","O42","objective","S42","HM"
"6x6","6x6-uct-1000","1000","2","37","0.770833","2","1","O42","objective","S53","HM"
"6x6","6x6-uct-1000","1000","2","37","0.770833","3","1","O35","objective","S35","MH"
"6x6","6x6-uct-1000","1000","2","38","0.791667","1","2","O50","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","38","0.791667","2","2","O12","objective","S23","LM"
"6x6","6x6-uct-1000","1000","2","38","0.791667","3","2","O12","objective","S12","LM"
"6x6","6x6-uct-1000","1000","2","39","0.812500","1","1","O03","objective","S13","LM"
"6x6","6x6-uct-1000","1000","2","39","0.812500","2","1","O15","objective","S25","LH"
"6x6","6x6-uct-1000","1000","2","39","0.812500","3","1","O01","objective","S02","LL"
"6x6","6x6-uct-1000","1000","2","40","0.833333","1","2","O12","objective","S23","LM"
"6x6","6x6-uct-1000","1000","2","40","0.833333","2","2","O11","objective","S21","LL"
"6x6","6x6-uct-1000","1000","2","40","0.833333","3","2","O53","objective","S54","HM"
"6x6","6x6-uct-1000","1000","2","41","0.854167","1","1","O31","objective","S42","ML"
"6x6","6x6-uct-1000","1000","2","41","0.854167","2","1","O31","objective","S41","ML"
"6x6","6x6-uct-1000","1000","2","41","0.854167","3","1","O14","objective","S25","LH"
"6x6","6x6-uct-1000","1000","2","42","0.875000","1","2","O23","objective","S23","MM"
"6x6","6x6-uct-1000","1000","2","42","0.875000","2","2","O52","objective","S63","HM"
"6x6","6x6-uct-1000","1000","2","42","0.875000","3","2","O11","objective","S12","LL"
"6x6","6x6-uct-1000","1000","2","43","0.895833","1","1","O14","objective","S24","LH"
"6x6","6x6-uct-1000","1000","2","43","0.895833","2","1","S21","supply","","LL"
"6x6","6x6-uct-1000","1000","2","43","0.895833","3","1","S63","supply","","HM"
"6x6","6x6-uct-1000","1000","2","44","0.916667","1","2","O11","objective","S12","LL"
"6x6","6x6-uct-1000","1000","2","44","0.916667","2","2","O23","objective","S23","MM"
"6x6","6x6-uct-1000","1000","2","44","0.916667","3","2","S14","supply","","LM"
"6x6","6x6-uct-1000","1000","2","45","0.937500","1","1","O15","objective","S25","LH"
"6x6","6x6-uct-1000","1000","2","45","0.937500","2","1","O20","objective","S30","ML"
"6x6","6x6-uct-1000","1000","2","45","0.937500","3","1","O52","objective","S53","HM"
"6x6","6x6-uct-1000","1000","2","46","0.958333","1","2","O23","objective","S23","MM"
"6x6","6x6-uct-1000","1000","2","46","0.958333","2","2","S44","supply","","MM"
"6x6","6x6-uct-1000","1000","2","46","0.958333","3","2","S05","supply","","LH"
"6x6","6x6-uct-1000","1000","2","47","0.979167","1","1","O52","objective","S53","HM"
"6x6","6x6-uct-1000","1000","2","47","0.979167","2","1","S43","supply","","MM"
"6x6","6x6-uct-1000","1000","2","47","0.979167","3","1","O35","objective","S36","MH"
"6x6","6x6-uct-1000","1000","2","48","1.000000","1","2","O22","objective","S23","MM"
"6x6","6x6-uct-1000","1000","2","48","1.000000","2","2","O51","objective","S51","HL"
"6x6","6x6-uct-1000","1000","2","48","1.000000","3","2","O04","objective","S14","LH"
"6x6","6x6-uct-1000","1000","3","1","0.020833","1","1","S15","supply","","LH"
"6x6","6x6-uct-1000","1000","3","1","0.020833","2","1","S52","supply","","HL"
"6x6","6x6-uct-1000","1000","3","1","0.020833","3","1","S66","supply","","HH"
"6x6","6x6-uct-1000","1000","3","2","0.041667","1","2","S64","supply","","HM"
"6x6","6x6-uct-1000","1000","3","2","0.041667","2","2","S46","supply","","MH"
"6x6","6x6-uct-1000","1000","3","2","0.041667","3","2","S13","supply","","LM"
"6x6","6x6-uct-1000","1000","3","3","0.062500","1","1","O14","objective","S15","LH"
"6x6","6x6-uct-1000","1000","3","3","0.062500","2","1","S51","supply","","HL"
"6x6","6x6-uct-1000","1000","3","3","0.062500","3","1","S20","supply","","LL"
"6x6","6x6-uct-1000","1000","3","4","0.083333","1","2","S03","supply","","LM"
"6x6","6x6-uct-1000","1000","3","4","0.083333","2","2","S63","supply","","HM"
"6x6","6x6-uct-1000","1000","3","4","0.083333","3","2","O45","objective","S46","HH"
"6x6","6x6-uct-1000","1000","3","5","0.104167","1","1","S63","supply","","HM"
"6x6","6x6-uct-1000","1000","3","5","0.104167","2","1","S44","supply","","MM"
"6x6","6x6-uct-1000","1000","3","5","0.104167","3","1","S60","supply","","HL"
"6x6","6x6-uct-1000","1000","3","6","0.125000","1","2","S45","supply","","MH"
"6x6","6x6-uct-1000","1000","3","6","0.125000","2","2","S15","supply","","LH"
"6x6","6x6-uct-1000","1000","3","6","0.125000","3","2","O54","objective","S64","HH"
"6x6","6x6-uct-1000","1000","3","7","0.145833","1","1","O41","objective","S51","HL"
"6x6","6x6-uct-1000","1000","3","7","0.145833","2","1","S33","supply","","MM"
"6x6","6x6-uct-1000","1000","3","7","0.145833","3","1","S16","supply","","LH"
"6x6","6x6-uct-1000","1000","3","8","0.166667","1","2","O54","objective","S64","HH"
"6x6","6x6-uct-1000","1000","3","8","0.166667","2","2","S35","supply","","MH"
"6x6","6x6-uct-1000","1000","3","8","0.166667","3","2","O35","objective","S45","MH"
"6x6","6x6-uct-1000","1000","3","9","0.187500","1","1","O23","objective","S33","MM"
"6x6","6x6-uct-1000","1000","3","9","0.187500","2","1","S14","supply","","LM"
"6x6","6x6-uct-1000","1000","3","9","0.187500","3","1","S51","supply","","HL"
"6x6","6x6-uct-1000","1000","3","10","0.208333","1","2","S54","supply","","HM"
"6x6","6x6-uct-1000","1000","3","10","0.208333","2","2","S30","supply","","ML"
"6x6","6x6-uct-1000","1000","3","10","0.208333","3","2","O35","objective","S45","MH"
"6x6","6x6-uct-1000","1000","3","11","0.229167","1","1","O15","objective","S16","LH"
"6x6","6x6-uct-1000","1000","3","11","0.229167","2","1","O23","objective","S33","MM"
"6x6","6x6-uct-1000","1000","3","11","0.229167","3","1","S53","supply","","HM"
"6x6","6x6-uct-1000","1000","3","12","0.250000","1","2","S52","supply","","HL"
