experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
"uct-0500-self-play","71","300170","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3241","3277","36","36","14","15","22","21","0","0","5","5","2","3","advantage_objectives","S00:0:0:0|S01:0:0:0|S02:0:1:1|S03:0:1:1|S04:0:0:0|S10:2:0:1|S11:1:1:0|S12:1:1:0|S13:0:2:2|S14:0:0:0|S20:2:0:1|S21:1:1:0|S22:1:2:0|S23:2:1:2|S24:0:0:0|S30:0:0:0|S31:2:1:2|S32:2:0:1|S33:2:0:1|S34:1:1:0|S40:1:1:0|S41:0:0:0|S42:0:0:0|S43:2:0:1|S44:2:1:2|O00:0:2:2|O01:3:3:0|O02:3:3:0|O03:1:2:0|O10:4:0:3|O11:3:3:0|O12:3:3:0|O13:2:0:1|O20:2:0:1|O21:3:3:1|O22:4:1:3|O23:4:0:3|O30:1:1:0|O31:2:0:1|O32:4:0:3|O33:4:1:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0071.trl"
"uct-0500-self-play","72","300171","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","2643","2644","36","36","20","19","16","17","1","1","4","4","3","3","objective_pieces","S00:2:0:2|S01:0:0:0|S02:2:1:2|S03:0:0:0|S04:0:0:0|S10:2:0:1|S11:3:3:0|S12:1:2:0|S13:1:1:0|S14:0:1:1|S20:1:1:0|S21:4:2:3|S22:0:2:2|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:2:2|S32:1:2:1|S33:2:0:1|S34:1:1:0|S40:0:1:1|S41:0:0:0|S42:0:1:1|S43:2:0:1|S44:2:0:1|O00:4:0:3|O01:2:0:1|O02:3:3:0|O03:2:0:2|O10:3:3:0|O11:3:3:0|O12:3:3:0|O13:1:1:0|O20:1:2:0|O21:4:0:3|O22:1:1:0|O23:0:0:0|O30:0:0:0|O31:2:0:2|O32:4:0:3|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0072.trl"
"uct-0500-self-play","73","300172","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","2681","3200","36","36","19","18","17","18","0","0","4","5","4","1","secured_objectives","S00:0:0:0|S01:1:1:0|S02:2:0:1|S03:0:0:0|S04:0:0:0|S10:0:2:2|S11:0:2:2|S12:0:1:1|S13:0:0:0|S14:2:0:1|S20:0:1:1|S21:1:2:1|S22:1:2:1|S23:0:0:0|S24:0:1:1|S30:2:1:2|S31:2:0:2|S32:1:2:1|S33:1:1:0|S34:2:0:1|S40:0:0:0|S41:2:0:1|S42:1:1:0|S43:1:1:0|S44:1:1:0|O00:1:1:0|O01:3:3:0|O02:4:0:3|O03:0:0:0|O10:3:3:1|O11:4:0:3|O12:1:1:0|O13:1:1:0|O20:4:1:3|O21:2:0:2|O22:3:3:0|O23:0:0:0|O30:4:0:3|O31:4:0:3|O32:3:3:0|O33:1:1:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0073.trl"
"uct-0500-self-play","74","300173","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3237","3239","36","36","18","16","18","20","0","0","5","5","2","2","objective_pieces","S00:0:1:1|S01:0:0:0|S02:1:1:0|S03:0:1:1|S04:0:0:0|S10:0:0:0|S11:0:2:2|S12:0:0:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:2:1:2|S22:0:1:1|S23:0:1:1|S24:1:1:0|S30:0:1:1|S31:2:1:2|S32:1:1:0|S33:2:0:1|S34:0:1:1|S40:1:1:0|S41:1:2:0|S42:2:1:2|S43:0:0:0|S44:2:0:1|O00:3:3:0|O01:3:3:0|O02:1:1:0|O03:3:3:1|O10:3:3:0|O11:0:0:0|O12:2:0:2|O13:3:3:1|O20:2:0:1|O21:0:0:0|O22:4:0:3|O23:4:0:3|O30:1:1:0|O31:4:1:3|O32:4:0:3|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0074.trl"
"uct-0500-self-play","75","300174","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3275","3795","36","36","17","15","19","21","1","0","5","6","3","0","secured_objectives","S00:0:0:0|S01:0:0:0|S02:1:1:0|S03:0:0:0|S04:1:1:0|S10:0:0:0|S11:1:2:1|S12:1:1:0|S13:0:1:1|S14:0:0:0|S20:0:1:1|S21:3:3:2|S22:2:0:1|S23:1:2:0|S24:0:1:1|S30:2:0:2|S31:0:1:1|S32:2:0:1|S33:0:0:0|S34:1:2:1|S40:0:0:0|S41:2:0:1|S42:2:0:1|S43:2:0:1|S44:1:1:0|O00:1:1:0|O01:3:3:0|O02:3:3:0|O03:0:0:0|O10:1:1:0|O11:3:3:2|O12:1:1:0|O13:0:1:1|O20:4:0:3|O21:4:0:3|O22:4:0:3|O23:3:3:0|O30:4:0:3|O31:4:0:3|O32:4:0:3|O33:3:3:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0075.trl"
"uct-0500-self-play","76","300175","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","2570","2644","36","36","19","19","17","17","2","1","4","4","1","3","advantage_objectives","S00:0:0:0|S01:0:0:0|S02:2:0:1|S03:2:0:1|S04:0:0:0|S10:2:0:1|S11:2:1:2|S12:0:0:0|S13:0:0:0|S14:0:1:1|S20:0:1:1|S21:3:3:1|S22:4:2:3|S23:2:0:1|S24:0:1:1|S30:1:1:0|S31:0:1:1|S32:0:2:2|S33:1:1:0|S34:0:1:1|S40:1:1:0|S41:3:3:1|S42:0:0:0|S43:2:0:1|S44:0:0:0|O00:4:0:3|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:3:3:0|O11:0:1:1|O12:4:0:3|O13:2:0:1|O20:3:3:0|O21:2:0:1|O22:4:1:3|O23:4:1:3|O30:3:3:0|O31:1:1:0|O32:3:3:0|O33:2:1:2","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0076.trl"
"uct-0500-self-play","77","300176","UCT","UCT","500","-1.0","true","NaturalEnd","1","72","24","3239","3200","36","36","16","18","20","18","0","2","5","5","2","1","advantage_objectives","S00:0:1:1|S01:2:0:1|S02:0:1:1|S03:0:0:0|S04:4:0:3|S10:0:0:0|S11:1:1:0|S12:0:0:0|S13:0:0:0|S14:2:0:1|S20:2:0:2|S21:2:0:1|S22:0:1:1|S23:1:2:0|S24:0:0:0|S30:1:1:0|S31:0:1:1|S32:0:2:2|S33:4:2:3|S34:0:1:1|S40:1:1:0|S41:0:0:0|S42:1:1:0|S43:0:0:0|S44:1:1:0|O00:0:1:1|O01:0:0:0|O02:2:0:1|O03:4:0:3|O10:4:0:3|O11:0:0:0|O12:3:3:0|O13:4:0:3|O20:3:3:0|O21:1:1:0|O22:3:3:1|O23:4:0:3|O30:3:3:0|O31:1:2:0|O32:3:3:0|O33:4:1:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0077.trl"
"uct-0500-self-play","78","300177","UCT","UCT","500","-1.0","true","NaturalEnd","1","72","24","3831","3202","36","36","16","16","20","20","1","0","6","5","1","1","secured_objectives","S00:0:0:0|S01:1:2:1|S02:0:0:0|S03:0:0:0|S04:2:0:1|S10:2:0:2|S11:1:1:0|S12:0:2:2|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:3:3:1|S22:0:1:1|S23:2:0:1|S24:0:0:0|S30:2:0:1|S31:1:1:0|S32:0:2:2|S33:2:1:2|S34:2:0:1|S40:0:0:0|S41:1:1:0|S42:1:1:0|S43:1:1:0|S44:2:0:1|O00:3:3:1|O01:3:3:0|O02:0:0:0|O03:2:0:2|O10:4:0:3|O11:3:3:0|O12:4:0:3|O13:0:0:0|O20:4:0:3|O21:3:3:0|O22:4:0:3|O23:0:0:0|O30:3:3:1|O31:3:3:0|O32:1:2:1|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0078.trl"
"uct-0500-self-play","79","300178","UCT","UCT","500","-1.0","true","NaturalEnd","1","72","24","3276","2649","36","36","16","14","20","22","0","0","5","4","3","3","secured_objectives","S00:1:1:0|S01:0:0:0|S02:1:1:0|S03:1:1:0|S04:2:0:1|S10:0:1:1|S11:0:0:0|S12:1:1:0|S13:2:0:1|S14:2:0:1|S20:2:0:1|S21:0:1:1|S22:2:0:1|S23:1:2:0|S24:1:1:0|S30:0:1:1|S31:1:1:0|S32:0:1:1|S33:0:1:1|S34:1:1:0|S40:0:0:0|S41:2:0:1|S42:0:1:1|S43:2:1:2|S44:0:0:0|O00:1:1:0|O01:1:1:0|O02:4:0:3|O03:4:0:3|O10:2:0:1|O11:4:0:3|O12:3:3:1|O13:3:3:1|O20:2:0:2|O21:3:3:0|O22:2:0:2|O23:1:1:0|O30:4:1:3|O31:0:1:1|O32:3:3:2|O33:3:3:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0079.trl"
"uct-0500-self-play","80","300179","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","2645","3161","36","36","18","20","18","16","0","1","4","5","3","0","secured_objectives","S00:1:1:0|S01:2:0:1|S02:0:0:0|S03:2:0:2|S04:0:0:0|S10:0:2:2|S11:2:1:2|S12:1:2:1|S13:0:0:0|S14:1:1:0|S20:1:2:1|S21:1:2:1|S22:2:0:1|S23:0:0:0|S24:2:0:2|S30:2:0:1|S31:4:2:3|S32:2:0:1|S33:1:2:0|S34:1:1:0|S40:1:1:0|S41:1:1:0|S42:2:0:1|S43:0:0:0|S44:2:0:1|O00:0:0:0|O01:1:1:0|O02:0:1:1|O03:1:1:0|O10:3:3:0|O11:4:0:3|O12:0:0:0|O13:1:1:0|O20:3:3:0|O21:4:0:3|O22:4:0:3|O23:3:3:0|O30:4:2:3|O31:3:3:0|O32:4:0:3|O33:0:0:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0080.trl"
