experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
"uct-0100-self-play","81","300080","UCT","UCT","100","-1.0","true","NaturalEnd","1","72","24","2605","2089","36","36","21","19","15","17","1","1","4","3","2","5","secured_objectives","S00:0:0:0|S01:0:0:0|S02:2:1:2|S03:0:1:1|S04:0:0:0|S10:0:0:0|S11:1:2:1|S12:2:1:2|S13:0:2:2|S14:0:0:0|S20:1:2:1|S21:0:0:0|S22:1:1:0|S23:3:3:0|S24:2:0:1|S30:0:1:1|S31:0:2:2|S32:0:0:0|S33:1:1:0|S34:2:0:1|S40:1:1:0|S41:0:1:1|S42:4:0:3|S43:1:1:0|S44:0:1:1|O00:0:0:0|O01:0:0:0|O02:2:0:1|O03:2:0:1|O10:3:3:0|O11:3:3:2|O12:4:0:3|O13:2:0:1|O20:3:3:0|O21:1:1:0|O22:3:3:0|O23:4:0:3|O30:1:1:0|O31:4:0:3|O32:2:1:2|O33:2:0:1","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0081.trl"
"uct-0100-self-play","82","300081","UCT","UCT","100","-1.0","true","NaturalEnd","1","72","24","2052","1898","36","36","19","25","17","11","0","1","3","3","4","0","advantage_objectives","S00:0:0:0|S01:0:1:1|S02:2:0:2|S03:0:1:1|S04:0:0:0|S10:2:1:2|S11:0:1:1|S12:0:0:0|S13:0:2:2|S14:0:0:0|S20:0:1:1|S21:1:1:0|S22:0:0:0|S23:0:2:2|S24:0:1:1|S30:4:0:3|S31:1:2:0|S32:0:1:1|S33:0:2:2|S34:1:1:0|S40:0:1:1|S41:0:1:1|S42:2:0:1|S43:2:0:2|S44:2:0:1|O00:4:0:3|O01:4:0:3|O02:0:0:0|O03:1:1:0|O10:0:0:0|O11:0:0:0|O12:1:2:0|O13:1:1:0|O20:3:3:0|O21:3:3:0|O22:0:1:1|O23:0:1:1|O30:3:3:0|O31:1:1:0|O32:4:1:3|O33:0:0:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0082.trl"
"uct-0100-self-play","83","300082","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2016","2532","36","36","18","20","18","16","0","1","3","4","3","0","secured_objectives","S00:1:1:0|S01:2:1:2|S02:0:1:1|S03:0:1:1|S04:0:0:0|S10:1:2:1|S11:4:0:3|S12:1:2:1|S13:2:0:1|S14:1:2:0|S20:0:0:0|S21:2:0:2|S22:0:0:0|S23:0:0:0|S24:1:1:0|S30:1:1:0|S31:1:1:0|S32:2:0:1|S33:1:2:0|S34:0:0:0|S40:2:0:2|S41:2:0:2|S42:2:1:2|S43:1:2:1|S44:0:0:0|O00:1:2:0|O01:4:0:3|O02:3:3:0|O03:1:2:1|O10:4:2:3|O11:3:3:2|O12:1:1:0|O13:0:0:0|O20:3:3:0|O21:0:0:0|O22:0:1:1|O23:0:0:0|O30:0:0:0|O31:4:0:3|O32:4:1:3|O33:0:0:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0083.trl"
"uct-0100-self-play","84","300083","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2531","2645","36","36","21","18","15","18","0","2","4","4","0","3","advantage_objectives","S00:0:0:0|S01:4:0:3|S02:1:2:0|S03:1:1:0|S04:2:0:1|S10:1:1:0|S11:1:2:1|S12:0:1:1|S13:2:0:2|S14:1:1:0|S20:0:1:1|S21:1:1:0|S22:2:1:2|S23:1:2:0|S24:1:2:1|S30:0:0:0|S31:4:1:3|S32:0:0:0|S33:2:0:1|S34:1:2:0|S40:1:1:0|S41:2:0:1|S42:0:1:1|S43:0:0:0|S44:1:1:0|O00:2:0:1|O01:0:1:1|O02:0:1:1|O03:3:3:1|O10:3:3:0|O11:4:0:3|O12:4:0:3|O13:4:1:3|O20:0:0:0|O21:4:0:3|O22:0:0:0|O23:3:3:0|O30:3:3:0|O31:2:0:1|O32:2:0:1|O33:0:0:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0084.trl"
"uct-0100-self-play","85","300084","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2013","2531","36","36","21","21","15","15","0","2","3","4","3","0","secured_objectives","S00:1:2:0|S01:2:0:2|S02:0:0:0|S03:0:0:0|S04:2:1:2|S10:0:1:1|S11:0:0:0|S12:0:1:1|S13:2:0:1|S14:1:1:0|S20:0:0:0|S21:1:2:1|S22:1:2:1|S23:0:0:0|S24:1:1:0|S30:2:1:2|S31:2:0:1|S32:0:1:1|S33:1:1:0|S34:4:2:3|S40:1:2:1|S41:1:2:0|S42:4:0:3|S43:0:0:0|S44:0:1:1|O00:4:1:3|O01:0:0:0|O02:0:0:0|O03:4:0:3|O10:1:1:0|O11:1:1:0|O12:3:3:0|O13:3:3:1|O20:0:0:0|O21:3:3:1|O22:1:1:0|O23:0:1:1|O30:4:1:3|O31:4:0:3|O32:0:0:0|O33:0:0:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0085.trl"
"uct-0100-self-play","86","300085","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2530","2645","36","36","22","18","14","18","1","0","4","4","0","3","advantage_objectives","S00:3:3:0|S01:1:1:0|S02:2:0:1|S03:1:2:1|S04:2:0:1|S10:0:1:1|S11:0:1:1|S12:0:1:1|S13:0:0:0|S14:2:0:1|S20:2:0:1|S21:0:1:1|S22:0:1:1|S23:1:2:1|S24:1:2:1|S30:0:0:0|S31:2:0:1|S32:1:1:0|S33:1:1:0|S34:1:2:0|S40:0:0:0|S41:2:0:2|S42:1:2:1|S43:2:1:2|S44:0:0:0|O00:2:0:1|O01:3:3:1|O02:0:0:0|O03:2:0:1|O10:0:0:0|O11:4:2:3|O12:0:0:0|O13:2:0:1|O20:4:0:3|O21:4:0:3|O22:0:0:0|O23:3:3:0|O30:4:0:3|O31:3:3:1|O32:0:0:0|O33:3:3:1","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0086.trl"
"uct-0100-self-play","87","300086","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2052","2607","36","36","19","19","17","17","1","0","3","4","4","2","secured_objectives","S00:0:1:1|S01:2:0:1|S02:2:0:2|S03:1:1:0|S04:2:0:2|S10:0:0:0|S11:0:1:1|S12:2:1:2|S13:0:0:0|S14:1:1:0|S20:1:2:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:1:1|S30:0:1:1|S31:0:1:1|S32:3:3:0|S33:2:0:1|S34:0:1:1|S40:1:1:0|S41:2:0:1|S42:2:0:1|S43:1:2:0|S44:1:2:0|O00:0:0:0|O01:4:1:3|O02:3:3:0|O03:1:2:1|O10:1:1:0|O11:4:0:3|O12:1:1:0|O13:0:0:0|O20:1:1:0|O21:2:0:1|O22:4:1:3|O23:4:1:3|O30:2:0:1|O31:3:3:1|O32:3:3:1|O33:0:0:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0087.trl"
"uct-0100-self-play","88","300087","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","3202","3277","36","36","16","15","20","21","0","1","5","5","1","3","advantage_objectives","S00:1:2:0|S01:1:1:0|S02:0:1:1|S03:1:2:1|S04:0:0:0|S10:0:1:1|S11:1:2:0|S12:0:1:1|S13:1:1:0|S14:2:0:2|S20:0:0:0|S21:1:1:0|S22:1:2:1|S23:0:0:0|S24:1:1:0|S30:0:0:0|S31:2:0:1|S32:2:0:1|S33:4:0:3|S34:0:1:1|S40:0:0:0|S41:2:0:1|S42:2:0:1|S43:0:0:0|S44:0:0:0|O00:3:3:0|O01:1:2:0|O02:3:3:0|O03:3:3:1|O10:0:0:0|O11:3:3:0|O12:3:3:0|O13:2:1:2|O20:2:0:1|O21:2:0:1|O22:4:0:3|O23:4:1:3|O30:4:0:3|O31:4:0:3|O32:4:0:3|O33:0:1:1","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0088.trl"
"uct-0100-self-play","89","300088","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2606","2608","36","36","20","18","16","18","2","1","4","4","2","2","objective_pieces","S00:2:0:2|S01:1:1:0|S02:1:1:0|S03:2:1:2|S04:0:1:1|S10:2:0:1|S11:4:0:3|S12:1:1:0|S13:0:1:1|S14:1:1:0|S20:3:3:0|S21:2:1:2|S22:0:0:0|S23:1:2:1|S24:0:0:0|S30:1:1:0|S31:1:1:0|S32:2:0:2|S33:3:3:0|S34:0:0:0|S40:0:0:0|S41:2:0:1|S42:2:0:2|S43:0:0:0|S44:1:2:0|O00:4:1:3|O01:1:1:0|O02:3:3:1|O03:3:3:1|O10:3:3:1|O11:4:0:3|O12:0:0:0|O13:1:1:0|O20:2:0:1|O21:0:0:0|O22:2:0:1|O23:0:0:0|O30:0:1:1|O31:4:0:3|O32:4:0:3|O33:3:3:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0089.trl"
"uct-0100-self-play","90","300089","UCT","UCT","100","-1.0","true","NaturalEnd","2","72","24","2607","3238","36","36","19","17","17","19","1","0","4","5","2","2","secured_objectives","S00:2:1:2|S01:2:0:1|S02:0:1:1|S03:0:0:0|S04:0:0:0|S10:3:3:0|S11:2:1:2|S12:2:0:2|S13:0:0:0|S14:0:0:0|S20:1:1:0|S21:0:1:1|S22:0:0:0|S23:1:1:0|S24:0:0:0|S30:1:1:0|S31:2:1:2|S32:0:1:1|S33:2:0:2|S34:1:1:0|S40:1:1:0|S41:1:1:0|S42:1:2:0|S43:0:1:1|S44:2:1:2|O00:4:0:3|O01:4:2:3|O02:0:1:1|O03:0:0:0|O10:3:3:0|O11:4:0:3|O12:2:0:1|O13:0:0:0|O20:3:3:0|O21:2:0:1|O22:4:0:3|O23:1:1:0|O30:3:3:0|O31:3:3:1|O32:4:0:3|O33:1:1:0","experiments/issue-30/results/trials/uct-0100-self-play/uct-0100-self-play-0090.trl"
