experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
"uct-0500-self-play","11","300110","UCT","UCT","500","-1.0","true","NaturalEnd","1","72","24","3831","2647","36","36","16","16","20","20","1","0","6","4","1","3","secured_objectives","S00:2:0:2|S01:1:1:0|S02:0:0:0|S03:3:3:0|S04:2:1:2|S10:1:1:0|S11:1:1:0|S12:0:0:0|S13:0:2:2|S14:2:0:2|S20:0:0:0|S21:2:0:1|S22:1:1:0|S23:1:1:0|S24:1:1:0|S30:0:0:0|S31:2:0:1|S32:2:0:1|S33:2:1:2|S34:1:1:0|S40:0:0:0|S41:2:0:1|S42:1:1:0|S43:0:1:1|S44:2:0:1|O00:0:0:0|O01:0:0:0|O02:3:3:0|O03:3:3:1|O10:1:1:0|O11:3:3:2|O12:3:3:0|O13:3:3:1|O20:2:0:1|O21:4:0:3|O22:4:1:3|O23:3:3:0|O30:2:0:1|O31:2:0:2|O32:4:0:3|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0011.trl"
"uct-0500-self-play","12","300111","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3163","3276","36","36","18","16","18","20","0","0","5","5","0","3","advantage_objectives","S00:0:1:1|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:1:1|S10:0:0:0|S11:1:2:1|S12:1:2:0|S13:1:2:1|S14:2:0:1|S20:2:0:1|S21:2:0:1|S22:1:2:1|S23:2:0:2|S24:0:1:1|S30:2:0:1|S31:0:0:0|S32:0:1:1|S33:1:2:0|S34:2:0:2|S40:0:0:0|S41:0:0:0|S42:1:1:0|S43:0:1:1|S44:1:2:0|O00:2:0:2|O01:0:0:0|O02:3:3:0|O03:4:0:3|O10:4:2:3|O11:3:3:0|O12:4:0:3|O13:0:0:0|O20:4:0:3|O21:2:0:1|O22:3:3:0|O23:3:3:0|O30:0:0:0|O31:2:0:2|O32:3:3:0|O33:4:1:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0012.trl"
"uct-0500-self-play","13","300112","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","2607","2646","36","36","19","17","17","19","0","0","4","4","2","3","advantage_objectives","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:2:0:1|S10:0:0:0|S11:0:1:1|S12:2:0:1|S13:1:2:1|S14:0:1:1|S20:0:1:1|S21:2:1:2|S22:1:1:0|S23:0:1:1|S24:1:1:0|S30:0:1:1|S31:2:1:2|S32:0:2:2|S33:1:2:0|S34:0:1:1|S40:1:1:0|S41:0:0:0|S42:0:1:1|S43:0:0:0|S44:0:1:1|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:2:0:1|O10:4:1:3|O11:1:1:0|O12:3:3:0|O13:3:3:1|O20:1:1:0|O21:4:0:3|O22:2:1:2|O23:3:3:0|O30:0:1:1|O31:4:0:3|O32:4:0:3|O33:3:3:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0013.trl"
"uct-0500-self-play","14","300113","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","2648","3202","36","36","15","16","21","20","0","0","4","5","3","1","secured_objectives","S00:0:0:0|S01:1:1:0|S02:0:0:0|S03:1:2:1|S04:2:0:1|S10:1:1:0|S11:0:1:1|S12:0:0:0|S13:2:0:2|S14:0:0:0|S20:2:0:1|S21:0:2:2|S22:0:0:0|S23:2:0:1|S24:2:0:2|S30:0:1:1|S31:1:1:0|S32:2:1:2|S33:1:2:1|S34:0:0:0|S40:2:0:1|S41:0:0:0|S42:1:1:0|S43:1:2:0|S44:0:0:0|O00:0:1:1|O01:1:1:0|O02:1:1:0|O03:4:1:3|O10:4:0:3|O11:0:1:1|O12:4:0:3|O13:4:0:3|O20:4:2:3|O21:2:0:1|O22:3:3:0|O23:0:0:0|O30:3:3:0|O31:3:3:0|O32:3:3:2|O33:1:2:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0014.trl"
"uct-0500-self-play","15","300114","UCT","UCT","500","-1.0","true","NaturalEnd","0","72","24","3239","3239","36","36","16","16","20","20","0","0","5","5","2","2","draw","S00:0:0:0|S01:0:2:2|S02:0:1:1|S03:0:0:0|S04:0:0:0|S10:2:0:1|S11:0:0:0|S12:1:1:0|S13:0:1:1|S14:0:1:1|S20:2:0:1|S21:0:1:1|S22:1:2:1|S23:2:1:2|S24:0:1:1|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:1:2:0|S34:0:1:1|S40:0:0:0|S41:0:1:1|S42:0:0:0|S43:2:0:2|S44:0:0:0|O00:4:0:3|O01:4:0:3|O02:2:0:2|O03:0:0:0|O10:4:0:3|O11:3:3:0|O12:3:3:1|O13:2:0:2|O20:4:0:3|O21:3:3:0|O22:3:3:0|O23:1:2:0|O30:0:0:0|O31:1:1:0|O32:3:3:0|O33:4:2:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0015.trl"
"uct-0500-self-play","16","300115","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3833","3870","36","36","14","14","22","22","1","0","6","6","1","2","advantage_objectives","S00:0:0:0|S01:2:0:1|S02:0:0:0|S03:2:0:1|S04:0:0:0|S10:0:1:1|S11:1:1:0|S12:1:1:0|S13:2:0:1|S14:0:0:0|S20:0:1:1|S21:2:0:1|S22:3:3:0|S23:0:1:1|S24:1:1:0|S30:0:0:0|S31:0:1:1|S32:2:0:1|S33:0:1:1|S34:0:0:0|S40:1:1:0|S41:1:2:0|S42:2:0:1|S43:2:0:2|S44:2:0:1|O00:4:0:3|O01:3:3:0|O02:4:0:3|O03:4:0:3|O10:2:0:1|O11:1:2:0|O12:0:2:2|O13:3:3:0|O20:2:0:1|O21:3:3:0|O22:3:3:0|O23:3:3:0|O30:3:3:0|O31:4:0:3|O32:4:0:3|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0016.trl"
"uct-0500-self-play","17","300116","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3238","3275","36","36","17","17","19","19","0","2","5","5","2","3","advantage_objectives","S00:1:2:1|S01:0:2:2|S02:1:1:0|S03:0:0:0|S04:2:0:1|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:4:1:3|S21:2:1:2|S22:1:1:0|S23:0:1:1|S24:1:1:0|S30:4:0:3|S31:0:0:0|S32:1:1:0|S33:0:1:1|S34:1:1:0|S40:0:0:0|S41:1:1:0|S42:1:2:1|S43:1:1:0|S44:2:0:1|O00:3:3:0|O01:1:2:0|O02:3:3:0|O03:2:0:1|O10:4:0:3|O11:0:0:0|O12:3:3:0|O13:2:0:1|O20:4:0:3|O21:4:0:3|O22:2:0:2|O23:3:3:0|O30:4:0:3|O31:3:3:0|O32:1:2:0|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0017.trl"
"uct-0500-self-play","18","300117","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3795","3832","36","36","15","15","21","21","0","0","6","6","0","1","advantage_objectives","S00:0:0:0|S01:1:1:0|S02:0:1:1|S03:0:1:1|S04:2:0:1|S10:2:0:2|S11:0:0:0|S12:2:0:2|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:2|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:1:1|S32:1:1:0|S33:1:1:0|S34:1:1:0|S40:2:0:1|S41:1:2:1|S42:1:1:0|S43:1:1:0|S44:1:2:0|O00:4:0:3|O01:4:0:3|O02:0:1:1|O03:0:0:0|O10:4:0:3|O11:4:0:3|O12:4:0:3|O13:0:0:0|O20:2:0:2|O21:4:2:3|O22:3:3:0|O23:3:3:0|O30:3:3:0|O31:3:3:0|O32:3:3:0|O33:3:3:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0018.trl"
"uct-0500-self-play","19","300118","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3240","3794","36","36","15","16","21","20","0","0","5","6","2","0","secured_objectives","S00:0:0:0|S01:1:1:0|S02:0:0:0|S03:1:2:0|S04:0:0:0|S10:2:0:1|S11:0:1:1|S12:2:0:2|S13:2:0:2|S14:1:1:0|S20:2:0:2|S21:1:2:1|S22:2:1:2|S23:0:0:0|S24:1:2:0|S30:2:1:2|S31:0:0:0|S32:0:0:0|S33:0:1:1|S34:1:1:0|S40:0:1:1|S41:0:0:0|S42:0:1:1|S43:0:0:0|S44:0:0:0|O00:3:3:1|O01:0:1:1|O02:4:0:3|O03:3:3:0|O10:4:0:3|O11:4:1:3|O12:4:0:3|O13:3:3:0|O20:4:1:3|O21:3:3:0|O22:4:0:3|O23:1:1:0|O30:3:3:0|O31:0:0:0|O32:1:2:0|O33:0:0:0","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0019.trl"
"uct-0500-self-play","20","300119","UCT","UCT","500","-1.0","true","NaturalEnd","2","72","24","3160","3237","36","36","21","18","15","18","0","2","5","5","0","2","advantage_objectives","S00:1:1:0|S01:1:2:0|S02:0:0:0|S03:2:0:1|S04:1:1:0|S10:0:0:0|S11:0:0:0|S12:2:0:1|S13:0:1:1|S14:2:0:1|S20:2:0:1|S21:0:1:1|S22:1:2:1|S23:4:2:3|S24:0:0:0|S30:0:1:1|S31:1:2:0|S32:2:1:2|S33:1:2:0|S34:4:2:3|S40:0:1:1|S41:1:1:0|S42:0:0:0|S43:0:1:1|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:4:0:3|O12:4:0:3|O13:4:0:3|O20:2:0:1|O21:3:3:0|O22:3:3:1|O23:4:0:3|O30:3:3:0|O31:3:3:0|O32:3:3:0|O33:4:0:3","experiments/issue-30/results/trials/uct-0500-self-play/uct-0500-self-play-0020.trl"
