"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"3x3","3x3-seeded-random","-1","89","10","0.555556","2","2","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","89","10","0.555556","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","89","11","0.611111","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","89","11","0.611111","2","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","89","11","0.611111","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","89","12","0.666667","1","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","89","12","0.666667","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","89","12","0.666667","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","89","13","0.722222","1","1","O20","objective","S20","HL"
"3x3","3x3-seeded-random","-1","89","13","0.722222","2","1","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","89","13","0.722222","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","89","14","0.777778","1","2","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","89","14","0.777778","2","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","89","14","0.777778","3","2","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","89","15","0.833333","1","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","89","15","0.833333","2","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","89","15","0.833333","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","89","16","0.888889","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","89","16","0.888889","2","2","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","89","16","0.888889","3","2","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","89","17","0.944444","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","89","17","0.944444","2","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","89","17","0.944444","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","89","18","1.000000","1","2","O21","objective","S21","HM"
"3x3","3x3-seeded-random","-1","89","18","1.000000","2","2","O12","objective","S22","MH"
"3x3","3x3-seeded-random","-1","89","18","1.000000","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","90","1","0.055556","1","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","90","1","0.055556","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","90","1","0.055556","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","90","2","0.111111","1","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","90","2","0.111111","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","90","2","0.111111","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","90","3","0.166667","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","90","3","0.166667","2","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","90","3","0.166667","3","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","90","4","0.222222","1","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","90","4","0.222222","2","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","90","4","0.222222","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","90","5","0.277778","1","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","90","5","0.277778","2","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","90","5","0.277778","3","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","90","6","0.333333","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","90","6","0.333333","2","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","90","6","0.333333","3","2","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","90","7","0.388889","1","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","90","7","0.388889","2","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","90","7","0.388889","3","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","90","8","0.444444","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","90","8","0.444444","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","90","8","0.444444","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","90","9","0.500000","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","90","9","0.500000","2","1","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","90","9","0.500000","3","1","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","90","10","0.555556","1","2","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","90","10","0.555556","2","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","90","10","0.555556","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","90","11","0.611111","1","1","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","90","11","0.611111","2","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","90","11","0.611111","3","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","90","12","0.666667","1","2","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","90","12","0.666667","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","90","12","0.666667","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","90","13","0.722222","1","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","90","13","0.722222","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","90","13","0.722222","3","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","90","14","0.777778","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","90","14","0.777778","2","2","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","90","14","0.777778","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","90","15","0.833333","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","90","15","0.833333","2","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","90","15","0.833333","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","90","16","0.888889","1","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","90","16","0.888889","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","90","16","0.888889","3","2","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","90","17","0.944444","1","1","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","90","17","0.944444","2","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","90","17","0.944444","3","1","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","90","18","1.000000","1","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","90","18","1.000000","2","2","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","90","18","1.000000","3","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","91","1","0.055556","1","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","91","1","0.055556","2","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","91","1","0.055556","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","91","2","0.111111","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","91","2","0.111111","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","91","2","0.111111","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","91","3","0.166667","1","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","91","3","0.166667","2","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","91","3","0.166667","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","91","4","0.222222","1","2","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","91","4","0.222222","2","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","91","4","0.222222","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","91","5","0.277778","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","91","5","0.277778","2","1","O12","objective","S22","MH"
"3x3","3x3-seeded-random","-1","91","5","0.277778","3","1","O22","objective","S32","HH"
"3x3","3x3-seeded-random","-1","91","6","0.333333","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","91","6","0.333333","2","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","91","6","0.333333","3","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","91","7","0.388889","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","91","7","0.388889","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","91","7","0.388889","3","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","91","8","0.444444","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","91","8","0.444444","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","91","8","0.444444","3","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","91","9","0.500000","1","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","91","9","0.500000","2","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","91","9","0.500000","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","91","10","0.555556","1","2","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","91","10","0.555556","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","91","10","0.555556","3","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","91","11","0.611111","1","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","91","11","0.611111","2","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","91","11","0.611111","3","1","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","91","12","0.666667","1","2","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","91","12","0.666667","2","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","91","12","0.666667","3","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","91","13","0.722222","1","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","91","13","0.722222","2","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","91","13","0.722222","3","1","O10","objective","S21","ML"
"3x3","3x3-seeded-random","-1","91","14","0.777778","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","91","14","0.777778","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","91","14","0.777778","3","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","91","15","0.833333","1","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","91","15","0.833333","2","1","O20","objective","S21","HL"
"3x3","3x3-seeded-random","-1","91","15","0.833333","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","91","16","0.888889","1","2","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","91","16","0.888889","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","91","16","0.888889","3","2","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","91","17","0.944444","1","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","91","17","0.944444","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","91","17","0.944444","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","91","18","1.000000","1","2","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","91","18","1.000000","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","91","18","1.000000","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","92","1","0.055556","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","92","1","0.055556","2","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","92","1","0.055556","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","92","2","0.111111","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","92","2","0.111111","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","92","2","0.111111","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","92","3","0.166667","1","1","O12","objective","S13","MH"
"3x3","3x3-seeded-random","-1","92","3","0.166667","2","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","92","3","0.166667","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","92","4","0.222222","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","92","4","0.222222","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","92","4","0.222222","3","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","92","5","0.277778","1","1","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","92","5","0.277778","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","92","5","0.277778","3","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","92","6","0.333333","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","92","6","0.333333","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","92","6","0.333333","3","2","O10","objective","S10","ML"
"3x3","3x3-seeded-random","-1","92","7","0.388889","1","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","92","7","0.388889","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","92","7","0.388889","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","92","8","0.444444","1","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","92","8","0.444444","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","92","8","0.444444","3","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","92","9","0.500000","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","92","9","0.500000","2","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","92","9","0.500000","3","1","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","92","10","0.555556","1","2","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","92","10","0.555556","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","92","10","0.555556","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","92","11","0.611111","1","1","O02","objective","S13","LH"
"3x3","3x3-seeded-random","-1","92","11","0.611111","2","1","O20","objective","S20","HL"
"3x3","3x3-seeded-random","-1","92","11","0.611111","3","1","O22","objective","S32","HH"
"3x3","3x3-seeded-random","-1","92","12","0.666667","1","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","92","12","0.666667","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","92","12","0.666667","3","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","92","13","0.722222","1","1","O21","objective","S32","HM"
"3x3","3x3-seeded-random","-1","92","13","0.722222","2","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","92","13","0.722222","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","92","14","0.777778","1","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","92","14","0.777778","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","92","14","0.777778","3","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","92","15","0.833333","1","1","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","92","15","0.833333","2","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","92","15","0.833333","3","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","92","16","0.888889","1","2","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","92","16","0.888889","2","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","92","16","0.888889","3","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","92","17","0.944444","1","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","92","17","0.944444","2","1","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","92","17","0.944444","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","92","18","1.000000","1","2","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","92","18","1.000000","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","92","18","1.000000","3","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","93","1","0.055556","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","93","1","0.055556","2","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","93","1","0.055556","3","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","93","2","0.111111","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","93","2","0.111111","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","93","2","0.111111","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","93","3","0.166667","1","1","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","93","3","0.166667","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","93","3","0.166667","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","93","4","0.222222","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","93","4","0.222222","2","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","93","4","0.222222","3","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","93","5","0.277778","1","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","93","5","0.277778","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","93","5","0.277778","3","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","93","6","0.333333","1","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","93","6","0.333333","2","2","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","93","6","0.333333","3","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","93","7","0.388889","1","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","93","7","0.388889","2","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","93","7","0.388889","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","93","8","0.444444","1","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","93","8","0.444444","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","93","8","0.444444","3","2","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","93","9","0.500000","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","93","9","0.500000","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","93","9","0.500000","3","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","93","10","0.555556","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","93","10","0.555556","2","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","93","10","0.555556","3","2","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","93","11","0.611111","1","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","93","11","0.611111","2","1","O00","objective","S10","LL"
"3x3","3x3-seeded-random","-1","93","11","0.611111","3","1","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","93","12","0.666667","1","2","O20","objective","S21","HL"
"3x3","3x3-seeded-random","-1","93","12","0.666667","2","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","93","12","0.666667","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","93","13","0.722222","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","93","13","0.722222","2","1","O00","objective","S01","LL"
"3x3","3x3-seeded-random","-1","93","13","0.722222","3","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","93","14","0.777778","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","93","14","0.777778","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","93","14","0.777778","3","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","93","15","0.833333","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","93","15","0.833333","2","1","O02","objective","S03","LH"
"3x3","3x3-seeded-random","-1","93","15","0.833333","3","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","93","16","0.888889","1","2","O21","objective","S31","HM"
"3x3","3x3-seeded-random","-1","93","16","0.888889","2","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","93","16","0.888889","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","93","17","0.944444","1","1","O01","objective","S12","LM"
"3x3","3x3-seeded-random","-1","93","17","0.944444","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","93","17","0.944444","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","93","18","1.000000","1","2","O20","objective","S21","HL"
"3x3","3x3-seeded-random","-1","93","18","1.000000","2","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","93","18","1.000000","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","94","1","0.055556","1","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","94","1","0.055556","2","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","94","1","0.055556","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","94","2","0.111111","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","94","2","0.111111","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","94","2","0.111111","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","94","3","0.166667","1","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","94","3","0.166667","2","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","94","3","0.166667","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","94","4","0.222222","1","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","94","4","0.222222","2","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","94","4","0.222222","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","94","5","0.277778","1","1","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","94","5","0.277778","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","94","5","0.277778","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","94","6","0.333333","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","94","6","0.333333","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","94","6","0.333333","3","2","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","94","7","0.388889","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","94","7","0.388889","2","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","94","7","0.388889","3","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","94","8","0.444444","1","2","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","94","8","0.444444","2","2","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","94","8","0.444444","3","2","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","94","9","0.500000","1","1","O21","objective","S21","HM"
"3x3","3x3-seeded-random","-1","94","9","0.500000","2","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","94","9","0.500000","3","1","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","94","10","0.555556","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","94","10","0.555556","2","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","94","10","0.555556","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","94","11","0.611111","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","94","11","0.611111","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","94","11","0.611111","3","1","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","94","12","0.666667","1","2","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","94","12","0.666667","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","94","12","0.666667","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","94","13","0.722222","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","94","13","0.722222","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","94","13","0.722222","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","94","14","0.777778","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","94","14","0.777778","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","94","14","0.777778","3","2","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","94","15","0.833333","1","1","O10","objective","S21","ML"
"3x3","3x3-seeded-random","-1","94","15","0.833333","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","94","15","0.833333","3","1","O00","objective","S11","LL"
"3x3","3x3-seeded-random","-1","94","16","0.888889","1","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","94","16","0.888889","2","2","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","94","16","0.888889","3","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","94","17","0.944444","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","94","17","0.944444","2","1","O21","objective","S21","HM"
"3x3","3x3-seeded-random","-1","94","17","0.944444","3","1","O10","objective","S20","ML"
"3x3","3x3-seeded-random","-1","94","18","1.000000","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","94","18","1.000000","2","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","94","18","1.000000","3","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","95","1","0.055556","1","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","95","1","0.055556","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","95","1","0.055556","3","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","95","2","0.111111","1","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","95","2","0.111111","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","95","2","0.111111","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","95","3","0.166667","1","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","95","3","0.166667","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","95","3","0.166667","3","1","O11","objective","S22","MM"
"3x3","3x3-seeded-random","-1","95","4","0.222222","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","95","4","0.222222","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","95","4","0.222222","3","2","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","95","5","0.277778","1","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","95","5","0.277778","2","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","95","5","0.277778","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","95","6","0.333333","1","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","95","6","0.333333","2","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","95","6","0.333333","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","95","7","0.388889","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","95","7","0.388889","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","95","7","0.388889","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","95","8","0.444444","1","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","95","8","0.444444","2","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","95","8","0.444444","3","2","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","95","9","0.500000","1","1","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","95","9","0.500000","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","95","9","0.500000","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","95","10","0.555556","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","95","10","0.555556","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","95","10","0.555556","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","95","11","0.611111","1","1","S23","supply","","MH"
