"board","experiment_id","search_level","game_index","region","threshold","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","duration","normalized_duration","revisit_lag","normalized_revisit_lag","active_lapsed","right_censored"
"3x3","3x3-seeded-random","seeded-random","4","HH","2","1","8","0.444444","9","13","never_revisited_nonfront_return","","5","0.277778","","","true","false"
"3x3","3x3-seeded-random","seeded-random","4","LL","1","1","10","0.555556","10","12","persistent_revisit","12","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LL","1","2","15","0.833333","15","16","persistent_revisit","16","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LL","1","3","17","0.944444","17","18","persistent_revisit","18","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LM","1","1","4","0.222222","4","5","persistent_revisit","5","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LM","1","2","6","0.333333","6","7","persistent_revisit","7","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LM","1","3","8","0.444444","8","10","persistent_revisit","10","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LM","1","4","12","0.666667","12","14","never_revisited_resolved","","2","0.111111","","","true","false"
"3x3","3x3-seeded-random","seeded-random","4","LM","1","5","17","0.944444","17","18","persistent_revisit","18","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LH","1","1","3","0.166667","3","15","reactivation_revisit","15","12","0.666667","12","0.666667","true","false"
"3x3","3x3-seeded-random","seeded-random","4","LH","1","2","16","0.888889","16","17","persistent_revisit","17","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","LH","1","3","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","4","ML","1","1","8","0.444444","8","10","persistent_revisit","10","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","4","ML","1","2","11","0.611111","11","12","persistent_revisit","12","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","ML","1","3","13","0.722222","13","15","persistent_revisit","15","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","4","ML","1","4","16","0.888889","16","17","persistent_revisit","17","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","MM","1","1","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","4","HL","1","1","5","0.277778","5","8","persistent_revisit","8","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","4","HL","1","2","9","0.500000","9","10","persistent_revisit","10","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","HL","1","3","13","0.722222","13","14","persistent_revisit","14","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","4","HM","1","1","7","0.388889","7","18","right_censored","","11","0.611111","","","true","true"
"3x3","3x3-seeded-random","seeded-random","4","HH","1","1","8","0.444444","8","13","never_revisited_nonfront_return","","5","0.277778","","","true","false"
"3x3","3x3-seeded-random","seeded-random","4","LH","3","1","3","0.166667","5","15","reactivation_revisit","15","12","0.666667","12","0.666667","true","false"
"3x3","3x3-seeded-random","seeded-random","4","HL","3","1","5","0.277778","7","8","persistent_revisit","8","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","4","HM","3","1","7","0.388889","9","18","right_censored","","11","0.611111","","","true","true"
"3x3","3x3-seeded-random","seeded-random","4","HH","3","1","8","0.444444","10","13","never_revisited_nonfront_return","","5","0.277778","","","true","false"
"3x3","3x3-seeded-random","seeded-random","5","LL","2","1","5","0.277778","6","7","persistent_revisit","7","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LL","2","2","9","0.500000","10","11","persistent_revisit","11","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LL","2","3","15","0.833333","16","18","persistent_revisit","18","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LM","2","1","13","0.722222","14","16","never_revisited_nonfront_return","","3","0.166667","","","false","false"
"3x3","3x3-seeded-random","seeded-random","5","ML","2","1","6","0.333333","7","8","persistent_revisit","8","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","ML","2","2","17","0.944444","18","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","5","MM","2","1","8","0.444444","9","15","reactivation_revisit","15","7","0.388889","7","0.388889","true","false"
"3x3","3x3-seeded-random","seeded-random","5","MM","2","2","16","0.888889","17","18","persistent_revisit","18","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","HL","2","1","13","0.722222","14","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","5","HM","2","1","10","0.555556","11","14","reactivation_revisit","14","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","5","HM","2","2","15","0.833333","16","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","5","HH","2","1","11","0.611111","12","13","persistent_revisit","13","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","HH","2","2","16","0.888889","17","18","right_censored","","2","0.111111","","","false","true"
"3x3","3x3-seeded-random","seeded-random","5","LL","1","1","5","0.277778","5","7","persistent_revisit","7","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LL","1","2","9","0.500000","9","11","persistent_revisit","11","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LL","1","3","13","0.722222","13","14","persistent_revisit","14","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LL","1","4","15","0.833333","15","18","persistent_revisit","18","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LM","1","1","13","0.722222","13","16","never_revisited_nonfront_return","","3","0.166667","","","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LH","1","1","16","0.888889","16","17","persistent_revisit","17","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LH","1","2","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","5","ML","1","1","6","0.333333","6","8","persistent_revisit","8","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","ML","1","2","17","0.944444","17","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","5","MM","1","1","8","0.444444","8","15","reactivation_revisit","15","7","0.388889","7","0.388889","true","false"
"3x3","3x3-seeded-random","seeded-random","5","MM","1","2","16","0.888889","16","18","persistent_revisit","18","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","HL","1","1","13","0.722222","13","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","5","HM","1","1","10","0.555556","10","14","reactivation_revisit","14","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","5","HM","1","2","15","0.833333","15","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","5","HH","1","1","11","0.611111","11","13","persistent_revisit","13","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","5","HH","1","2","14","0.777778","14","15","persistent_revisit","15","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","5","HH","1","3","16","0.888889","16","18","right_censored","","2","0.111111","","","false","true"
"3x3","3x3-seeded-random","seeded-random","5","LL","3","1","15","0.833333","17","18","persistent_revisit","18","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","5","LM","3","1","13","0.722222","15","16","never_revisited_nonfront_return","","3","0.166667","","","false","false"
"3x3","3x3-seeded-random","seeded-random","5","MM","3","1","8","0.444444","10","15","reactivation_revisit","15","7","0.388889","7","0.388889","true","false"
"3x3","3x3-seeded-random","seeded-random","5","HL","3","1","13","0.722222","15","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","5","HM","3","1","10","0.555556","12","14","reactivation_revisit","14","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","5","HM","3","2","15","0.833333","17","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","5","HH","3","1","16","0.888889","18","18","right_censored","","2","0.111111","","","false","true"
"3x3","3x3-seeded-random","seeded-random","6","LL","2","1","6","0.333333","7","10","reactivation_revisit","10","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","6","LL","2","2","13","0.722222","14","16","persistent_revisit","16","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","LM","2","1","5","0.277778","6","13","reactivation_revisit","13","8","0.444444","8","0.444444","true","false"
"3x3","3x3-seeded-random","seeded-random","6","LM","2","2","14","0.777778","15","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","LH","2","1","17","0.944444","18","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","6","HL","2","1","10","0.555556","11","12","persistent_revisit","12","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HL","2","2","15","0.833333","16","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","HH","2","1","7","0.388889","8","10","persistent_revisit","10","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HH","2","2","11","0.611111","12","14","persistent_revisit","14","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HH","2","3","15","0.833333","16","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","LL","1","1","4","0.222222","4","5","persistent_revisit","5","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","6","LL","1","2","6","0.333333","6","10","reactivation_revisit","10","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","6","LL","1","3","13","0.722222","13","16","persistent_revisit","16","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","LM","1","1","5","0.277778","5","13","reactivation_revisit","13","8","0.444444","8","0.444444","true","false"
"3x3","3x3-seeded-random","seeded-random","6","LM","1","2","14","0.777778","14","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","LH","1","1","17","0.944444","17","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","6","MM","1","1","10","0.555556","10","11","persistent_revisit","11","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HL","1","1","10","0.555556","10","12","persistent_revisit","12","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HL","1","2","15","0.833333","15","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","HH","1","1","7","0.388889","7","10","persistent_revisit","10","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HH","1","2","11","0.611111","11","14","persistent_revisit","14","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HH","1","3","15","0.833333","15","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","LL","3","1","6","0.333333","8","10","reactivation_revisit","10","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","6","LL","3","2","13","0.722222","15","16","persistent_revisit","16","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","LM","3","1","5","0.277778","7","13","reactivation_revisit","13","8","0.444444","8","0.444444","true","false"
"3x3","3x3-seeded-random","seeded-random","6","LM","3","2","14","0.777778","16","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","HL","3","1","15","0.833333","17","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","6","HH","3","1","7","0.388889","9","10","persistent_revisit","10","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HH","3","2","11","0.611111","13","14","persistent_revisit","14","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","6","HH","3","3","15","0.833333","17","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","7","LL","2","1","6","0.333333","7","10","reactivation_revisit","10","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","2","2","11","0.611111","12","17","reactivation_revisit","17","6","0.333333","6","0.333333","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LM","2","1","12","0.666667","13","14","persistent_revisit","14","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","LM","2","2","16","0.888889","17","18","right_censored","","2","0.111111","","","false","true"
"3x3","3x3-seeded-random","seeded-random","7","LH","2","1","14","0.777778","15","16","persistent_revisit","16","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HL","2","1","7","0.388889","8","9","persistent_revisit","9","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HL","2","2","10","0.555556","11","12","persistent_revisit","12","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HM","2","1","13","0.722222","14","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","7","HH","2","1","11","0.611111","12","15","never_revisited_nonfront_return","","4","0.222222","","","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","1","1","3","0.166667","3","4","persistent_revisit","4","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","1","2","6","0.333333","6","10","reactivation_revisit","10","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","1","3","11","0.611111","11","17","reactivation_revisit","17","6","0.333333","6","0.333333","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","1","4","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","7","LM","1","1","12","0.666667","12","14","persistent_revisit","14","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","LM","1","2","16","0.888889","16","18","right_censored","","2","0.111111","","","false","true"
"3x3","3x3-seeded-random","seeded-random","7","LH","1","1","14","0.777778","14","16","persistent_revisit","16","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","LH","1","2","17","0.944444","17","18","persistent_revisit","18","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","ML","1","1","17","0.944444","17","18","persistent_revisit","18","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","MM","1","1","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","7","HL","1","1","7","0.388889","7","9","persistent_revisit","9","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HL","1","2","10","0.555556","10","12","persistent_revisit","12","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HL","1","3","13","0.722222","13","14","persistent_revisit","14","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HL","1","4","15","0.833333","15","16","persistent_revisit","16","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HL","1","5","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","7","HM","1","1","13","0.722222","13","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","7","HH","1","1","5","0.277778","5","6","persistent_revisit","6","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HH","1","2","9","0.500000","9","10","persistent_revisit","10","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","7","HH","1","3","11","0.611111","11","15","never_revisited_nonfront_return","","4","0.222222","","","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","3","1","6","0.333333","8","10","reactivation_revisit","10","4","0.222222","4","0.222222","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LL","3","2","11","0.611111","13","17","reactivation_revisit","17","6","0.333333","6","0.333333","true","false"
"3x3","3x3-seeded-random","seeded-random","7","LM","3","1","16","0.888889","18","18","right_censored","","2","0.111111","","","false","true"
"3x3","3x3-seeded-random","seeded-random","7","HM","3","1","13","0.722222","15","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","7","HH","3","1","11","0.611111","13","15","never_revisited_nonfront_return","","4","0.222222","","","true","false"
"3x3","3x3-seeded-random","seeded-random","8","LL","2","1","8","0.444444","9","11","persistent_revisit","11","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LL","2","2","12","0.666667","13","15","persistent_revisit","15","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LM","2","1","5","0.277778","6","7","persistent_revisit","7","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LM","2","2","13","0.722222","14","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","LH","2","1","4","0.222222","5","6","persistent_revisit","6","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","2","2","11","0.611111","12","13","persistent_revisit","13","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","2","3","17","0.944444","18","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","8","ML","2","1","15","0.833333","16","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","HL","2","1","17","0.944444","18","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","8","HM","2","1","10","0.555556","11","13","persistent_revisit","13","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","HM","2","2","14","0.777778","15","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","LL","1","1","4","0.222222","4","5","persistent_revisit","5","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LL","1","2","8","0.444444","8","11","persistent_revisit","11","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LL","1","3","12","0.666667","12","15","persistent_revisit","15","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LL","1","4","16","0.888889","16","17","persistent_revisit","17","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LM","1","1","5","0.277778","5","7","persistent_revisit","7","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LM","1","2","11","0.611111","11","12","persistent_revisit","12","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LM","1","3","13","0.722222","13","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","LH","1","1","4","0.222222","4","6","persistent_revisit","6","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","1","2","7","0.388889","7","8","persistent_revisit","8","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","1","3","9","0.500000","9","10","persistent_revisit","10","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","1","4","11","0.611111","11","13","persistent_revisit","13","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","1","5","14","0.777778","14","15","persistent_revisit","15","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LH","1","6","17","0.944444","17","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","8","ML","1","1","7","0.388889","7","8","persistent_revisit","8","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","ML","1","2","9","0.500000","9","10","persistent_revisit","10","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","ML","1","3","12","0.666667","12","13","persistent_revisit","13","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","ML","1","4","15","0.833333","15","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","MM","1","1","18","1.000000","18","18","right_censored","","0","0.000000","","","false","true"
"3x3","3x3-seeded-random","seeded-random","8","HL","1","1","17","0.944444","17","18","right_censored","","1","0.055556","","","false","true"
"3x3","3x3-seeded-random","seeded-random","8","HM","1","1","8","0.444444","8","9","persistent_revisit","9","1","0.055556","1","0.055556","false","false"
"3x3","3x3-seeded-random","seeded-random","8","HM","1","2","10","0.555556","10","13","persistent_revisit","13","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","HM","1","3","14","0.777778","14","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","LL","3","1","8","0.444444","10","11","persistent_revisit","11","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LL","3","2","12","0.666667","14","15","persistent_revisit","15","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","LM","3","1","13","0.722222","15","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","ML","3","1","15","0.833333","17","18","right_censored","","3","0.166667","","","true","true"
"3x3","3x3-seeded-random","seeded-random","8","HM","3","1","10","0.555556","12","13","persistent_revisit","13","3","0.166667","3","0.166667","false","false"
"3x3","3x3-seeded-random","seeded-random","8","HM","3","2","14","0.777778","16","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","9","LL","2","1","4","0.222222","5","6","persistent_revisit","6","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","9","LM","2","1","11","0.611111","12","13","persistent_revisit","13","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","9","LM","2","2","14","0.777778","15","18","right_censored","","4","0.222222","","","true","true"
"3x3","3x3-seeded-random","seeded-random","9","LH","2","1","13","0.722222","14","18","right_censored","","5","0.277778","","","true","true"
"3x3","3x3-seeded-random","seeded-random","9","ML","2","1","8","0.444444","9","15","reactivation_revisit","15","7","0.388889","7","0.388889","true","false"
"3x3","3x3-seeded-random","seeded-random","9","MH","2","1","12","0.666667","13","14","persistent_revisit","14","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","9","HL","2","1","9","0.500000","10","11","persistent_revisit","11","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","9","LL","1","1","4","0.222222","4","6","persistent_revisit","6","2","0.111111","2","0.111111","false","false"
"3x3","3x3-seeded-random","seeded-random","9","LL","1","2","7","0.388889","7","8","persistent_revisit","8","1","0.055556","1","0.055556","false","false"
