experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
"seeded-random-self-play","1","110000","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","195","1457","36","36","26","22","10","14","3","2","0","2","5","5","secured_objectives","S00:0:0:0|S01:0:0:0|S02:0:1:1|S03:2:0:1|S04:4:1:3|S10:2:1:2|S11:1:1:0|S12:2:0:2|S13:1:2:1|S14:1:1:0|S20:3:3:0|S21:2:0:1|S22:1:2:0|S23:0:1:1|S24:0:0:0|S30:1:1:0|S31:0:1:1|S32:3:3:2|S33:4:2:3|S34:1:1:0|S40:0:0:0|S41:2:1:2|S42:0:1:1|S43:3:3:0|S44:2:0:1|O00:2:0:1|O01:2:0:1|O02:4:0:3|O03:0:1:1|O10:0:1:1|O11:2:0:1|O12:4:0:3|O13:1:1:0|O20:2:0:1|O21:2:0:1|O22:1:2:0|O23:0:0:0|O30:0:1:1|O31:1:2:0|O32:1:1:0|O33:1:1:0","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0001.trl"
"seeded-random-self-play","2","110001","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","677","275","36","36","25","20","11","16","1","3","1","0","1","7","secured_objectives","S00:1:1:0|S01:1:2:0|S02:0:0:0|S03:2:0:1|S04:1:1:0|S10:1:2:1|S11:0:2:2|S12:1:1:0|S13:1:2:0|S14:1:2:0|S20:1:1:0|S21:4:0:3|S22:4:0:3|S23:0:0:0|S24:2:0:1|S30:4:0:3|S31:1:1:0|S32:1:1:0|S33:3:3:0|S34:2:1:2|S40:1:1:0|S41:2:0:2|S42:0:2:2|S43:0:0:0|S44:1:2:0|O00:1:2:0|O01:0:0:0|O02:2:1:2|O03:3:3:0|O10:2:0:1|O11:0:0:0|O12:0:1:1|O13:2:0:2|O20:2:0:2|O21:2:0:1|O22:0:1:1|O23:2:0:2|O30:0:2:2|O31:0:1:1|O32:0:0:0|O33:2:0:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0002.trl"
"seeded-random-self-play","3","110002","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","158","1419","36","36","26","23","10","13","2","1","0","2","4","4","secured_objectives","S00:3:3:1|S01:1:1:0|S02:2:0:1|S03:1:2:1|S04:2:1:2|S10:1:1:0|S11:1:1:0|S12:1:1:0|S13:0:1:1|S14:0:1:1|S20:0:1:1|S21:1:2:1|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:1:1|S31:2:0:1|S32:2:0:2|S33:3:3:0|S34:2:1:2|S40:0:0:0|S41:1:2:1|S42:2:1:2|S43:4:1:3|S44:2:1:2|O00:1:2:0|O01:4:1:3|O02:0:1:1|O03:0:0:0|O10:0:1:1|O11:0:0:0|O12:1:1:0|O13:1:1:0|O20:2:0:1|O21:2:0:1|O22:0:0:0|O23:1:2:0|O30:2:0:1|O31:4:0:3|O32:2:0:1|O33:0:1:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0003.trl"
"seeded-random-self-play","4","110003","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","2013","829","36","36","21","21","15","15","0","1","3","1","3","5","secured_objectives","S00:0:1:1|S01:4:1:3|S02:0:1:1|S03:2:1:2|S04:1:2:0|S10:0:0:0|S11:1:1:0|S12:1:1:0|S13:2:0:1|S14:0:1:1|S20:1:1:0|S21:1:2:1|S22:0:1:1|S23:2:0:1|S24:2:0:1|S30:1:1:0|S31:0:2:2|S32:0:0:0|S33:0:0:0|S34:1:1:0|S40:2:1:2|S41:1:2:1|S42:2:0:1|S43:2:0:2|S44:1:1:0|O00:0:0:0|O01:3:3:1|O02:0:0:0|O03:2:0:1|O10:1:1:0|O11:1:1:0|O12:2:1:2|O13:2:0:1|O20:1:1:0|O21:3:3:0|O22:0:1:1|O23:4:0:3|O30:3:3:1|O31:2:0:2|O32:2:0:2|O33:0:1:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0004.trl"
"seeded-random-self-play","5","110004","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","712","904","36","36","27","20","9","16","1","0","1","1","2","7","advantage_objectives","S00:2:1:2|S01:1:2:1|S02:0:0:0|S03:1:2:0|S04:1:1:0|S10:2:0:1|S11:0:2:2|S12:1:1:0|S13:2:0:2|S14:1:2:0|S20:2:1:2|S21:2:0:1|S22:0:0:0|S23:0:0:0|S24:0:2:2|S30:1:2:1|S31:3:3:1|S32:1:1:0|S33:2:0:1|S34:2:0:1|S40:2:0:1|S41:1:2:1|S42:1:1:0|S43:1:2:1|S44:1:2:0|O00:3:3:0|O01:1:2:0|O02:2:0:2|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:1:1|O13:2:0:1|O20:2:0:2|O21:2:0:1|O22:4:0:3|O23:2:0:2|O30:0:1:1|O31:2:0:1|O32:1:2:1|O33:2:0:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0005.trl"
"seeded-random-self-play","6","110005","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","1421","158","36","36","21","26","15","10","1","2","2","0","4","4","secured_objectives","S00:2:0:1|S01:0:1:1|S02:2:0:1|S03:0:1:1|S04:0:0:0|S10:2:0:1|S11:0:1:1|S12:1:1:0|S13:1:2:0|S14:2:0:1|S20:4:0:3|S21:3:3:0|S22:2:1:2|S23:1:1:0|S24:2:0:1|S30:1:2:1|S31:0:1:1|S32:1:1:0|S33:1:1:0|S34:1:2:1|S40:2:0:2|S41:0:1:1|S42:4:2:3|S43:2:0:2|S44:2:0:2|O00:2:0:1|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:1:1|O11:2:0:1|O12:3:3:0|O13:2:0:2|O20:1:1:0|O21:1:2:0|O22:3:3:0|O23:1:1:0|O30:2:0:2|O31:0:1:1|O32:1:2:1|O33:0:1:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0006.trl"
"seeded-random-self-play","7","110006","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","864","712","36","36","23","27","13","9","1","2","1","1","6","2","advantage_objectives","S00:0:1:1|S01:2:0:1|S02:0:1:1|S03:3:3:1|S04:1:2:1|S10:0:1:1|S11:0:1:1|S12:2:0:1|S13:0:2:2|S14:0:0:0|S20:4:2:3|S21:4:0:3|S22:0:1:1|S23:1:2:0|S24:1:2:1|S30:2:0:1|S31:1:2:1|S32:2:0:1|S33:1:1:0|S34:2:0:2|S40:0:0:0|S41:2:1:2|S42:0:1:1|S43:2:0:1|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:1:1:0|O03:3:3:0|O10:2:0:1|O11:1:2:1|O12:1:2:0|O13:1:1:0|O20:0:0:0|O21:1:2:1|O22:1:1:0|O23:0:0:0|O30:0:1:1|O31:0:0:0|O32:4:0:3|O33:2:0:2","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0007.trl"
"seeded-random-self-play","8","110007","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","157","121","36","36","27","26","9","10","3","3","0","0","4","3","advantage_objectives","S00:0:1:1|S01:0:2:2|S02:4:0:3|S03:4:1:3|S04:3:3:0|S10:1:2:1|S11:0:0:0|S12:1:2:1|S13:4:0:3|S14:1:1:0|S20:1:1:0|S21:3:3:0|S22:0:1:1|S23:3:3:1|S24:1:2:1|S30:1:2:1|S31:0:0:0|S32:2:0:1|S33:2:0:1|S34:1:1:0|S40:2:0:1|S41:2:0:1|S42:0:1:1|S43:2:0:2|S44:0:1:1|O00:0:0:0|O01:1:2:1|O02:0:1:1|O03:0:1:1|O10:0:0:0|O11:1:1:0|O12:2:0:2|O13:1:2:1|O20:0:0:0|O21:0:0:0|O22:2:0:1|O23:1:2:1|O30:2:0:2|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0008.trl"
"seeded-random-self-play","9","110008","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","234","826","36","36","24","24","12","12","0","1","0","1","6","5","secured_objectives","S00:1:2:0|S01:4:2:3|S02:1:1:0|S03:2:1:2|S04:1:2:1|S10:0:0:0|S11:0:0:0|S12:2:0:2|S13:2:1:2|S14:0:0:0|S20:0:1:1|S21:2:0:2|S22:2:0:1|S23:0:1:1|S24:1:2:1|S30:0:0:0|S31:0:0:0|S32:0:1:1|S33:1:2:1|S34:2:0:1|S40:2:1:2|S41:1:2:1|S42:1:2:0|S43:0:2:2|S44:1:1:0|O00:1:2:0|O01:2:0:1|O02:1:1:0|O03:2:1:2|O10:2:0:1|O11:2:0:1|O12:0:0:0|O13:0:0:0|O20:2:0:2|O21:0:0:0|O22:1:2:0|O23:1:2:1|O30:1:1:0|O31:0:1:1|O32:4:0:3|O33:1:2:0","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0009.trl"
"seeded-random-self-play","10","110009","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","310","824","36","36","22","26","14","10","1","1","0","1","8","5","secured_objectives","S00:0:1:1|S01:1:1:0|S02:1:1:0|S03:2:0:2|S04:1:1:0|S10:0:1:1|S11:1:1:0|S12:0:1:1|S13:2:1:2|S14:3:3:0|S20:2:0:2|S21:2:0:1|S22:2:0:1|S23:0:1:1|S24:2:1:2|S30:0:1:1|S31:2:0:1|S32:0:1:1|S33:0:1:1|S34:1:1:0|S40:2:0:1|S41:1:1:0|S42:2:1:2|S43:4:1:3|S44:0:2:2|O00:1:2:0|O01:1:1:0|O02:1:1:0|O03:1:1:0|O10:2:0:1|O11:1:2:0|O12:1:1:0|O13:0:0:0|O20:2:0:1|O21:1:1:0|O22:2:0:2|O23:4:2:3|O30:0:0:0|O31:1:2:0|O32:2:0:1|O33:2:1:2","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0010.trl"
"seeded-random-self-play","11","110010","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","1495","788","36","36","21","25","15","11","2","1","2","1","6","4","secured_objectives","S00:0:1:1|S01:2:0:1|S02:2:0:2|S03:2:0:1|S04:1:1:0|S10:1:1:0|S11:0:1:1|S12:1:2:1|S13:1:2:1|S14:2:1:2|S20:2:0:2|S21:1:2:0|S22:0:0:0|S23:2:0:2|S24:2:0:1|S30:0:1:1|S31:4:1:3|S32:2:0:2|S33:3:3:0|S34:0:0:0|S40:3:3:0|S41:0:1:1|S42:2:0:1|S43:2:0:2|S44:1:1:0|O00:1:2:1|O01:1:1:0|O02:1:1:0|O03:0:0:0|O10:3:3:0|O11:1:1:0|O12:1:1:0|O13:2:0:2|O20:2:1:2|O21:4:0:3|O22:0:0:0|O23:0:0:0|O30:1:2:0|O31:2:0:2|O32:3:3:0|O33:2:0:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0011.trl"
"seeded-random-self-play","12","110011","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","1939","793","36","36","21","20","15","16","3","1","3","1","1","4","secured_objectives","S00:2:0:2|S01:2:0:1|S02:2:0:1|S03:4:0:3|S04:0:0:0|S10:1:1:0|S11:2:0:1|S12:2:0:1|S13:0:0:0|S14:0:0:0|S20:3:3:0|S21:0:1:1|S22:1:2:0|S23:0:2:2|S24:1:1:0|S30:3:3:0|S31:0:1:1|S32:2:0:1|S33:2:0:2|S34:2:0:1|S40:3:3:0|S41:1:1:0|S42:2:0:1|S43:1:2:1|S44:0:1:1|O00:0:1:1|O01:4:0:3|O02:2:0:2|O03:0:0:0|O10:3:3:1|O11:3:3:0|O12:0:1:1|O13:0:0:0|O20:3:3:0|O21:2:0:1|O22:0:1:1|O23:0:0:0|O30:1:1:0|O31:0:2:2|O32:2:0:2|O33:2:0:2","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0012.trl"
"seeded-random-self-play","13","110012","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","751","157","36","36","25","27","11","9","3","2","1","0","3","4","secured_objectives","S00:3:3:2|S01:1:1:0|S02:2:0:2|S03:1:2:1|S04:1:2:1|S10:1:1:0|S11:0:0:0|S12:2:0:2|S13:3:3:1|S14:1:1:0|S20:1:1:0|S21:3:3:1|S22:0:1:1|S23:4:2:3|S24:2:1:2|S30:0:1:1|S31:0:1:1|S32:2:0:1|S33:2:1:2|S34:2:0:1|S40:0:0:0|S41:0:0:0|S42:2:0:1|S43:4:1:3|S44:2:0:1|O00:0:0:0|O01:0:0:0|O02:2:1:2|O03:1:1:0|O10:3:3:0|O11:0:0:0|O12:0:1:1|O13:2:0:1|O20:1:2:0|O21:0:1:1|O22:1:1:0|O23:2:0:2|O30:0:0:0|O31:0:1:1|O32:0:0:0|O33:2:0:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0013.trl"
"seeded-random-self-play","14","110013","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","158","157","36","36","26","27","10","9","2","4","0","0","4","4","objective_pieces","S00:2:1:2|S01:4:1:3|S02:0:1:1|S03:1:1:0|S04:4:1:3|S10:0:0:0|S11:2:0:2|S12:3:3:0|S13:4:2:3|S14:1:1:0|S20:1:1:0|S21:0:0:0|S22:2:0:1|S23:3:3:1|S24:2:1:2|S30:0:0:0|S31:1:1:0|S32:2:0:2|S33:0:1:1|S34:4:1:3|S40:0:1:1|S41:1:2:0|S42:0:1:1|S43:1:2:0|S44:0:1:1|O00:0:0:0|O01:2:0:1|O02:1:1:0|O03:1:1:0|O10:0:1:1|O11:0:0:0|O12:0:1:1|O13:0:2:2|O20:1:1:0|O21:0:0:0|O22:2:0:1|O23:2:1:2|O30:0:0:0|O31:0:0:0|O32:1:2:0|O33:2:0:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0014.trl"
"seeded-random-self-play","15","110014","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","232","788","36","36","26","25","10","11","2","2","0","1","6","4","secured_objectives","S00:1:2:0|S01:0:1:1|S02:4:1:3|S03:2:0:2|S04:1:1:0|S10:2:0:2|S11:0:1:1|S12:4:1:3|S13:2:0:2|S14:1:2:1|S20:1:1:0|S21:0:1:1|S22:3:3:1|S23:0:2:2|S24:2:0:2|S30:1:1:0|S31:2:0:2|S32:0:0:0|S33:1:1:0|S34:1:2:0|S40:2:0:1|S41:0:0:0|S42:1:1:0|S43:3:3:0|S44:1:2:1|O00:2:0:1|O01:4:1:3|O02:1:1:0|O03:0:1:1|O10:2:0:2|O11:0:0:0|O12:1:1:0|O13:2:0:1|O20:0:1:1|O21:0:0:0|O22:1:1:0|O23:1:1:0|O30:2:0:2|O31:0:0:0|O32:1:1:0|O33:1:2:0","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0015.trl"
"seeded-random-self-play","16","110015","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","826","269","36","36","24","26","12","10","2","3","1","0","5","7","secured_objectives","S00:1:1:0|S01:2:0:1|S02:4:0:3|S03:0:2:2|S04:4:0:3|S10:1:1:0|S11:1:2:1|S12:1:2:1|S13:0:0:0|S14:2:0:1|S20:1:1:0|S21:0:0:0|S22:1:1:0|S23:1:1:0|S24:0:2:2|S30:2:0:2|S31:2:0:1|S32:2:1:2|S33:0:0:0|S34:2:1:2|S40:0:1:1|S41:3:3:0|S42:4:1:3|S43:3:3:0|S44:0:1:1|O00:3:3:1|O01:2:0:1|O02:1:2:0|O03:1:2:0|O10:1:1:0|O11:0:0:0|O12:1:1:0|O13:2:0:1|O20:1:1:0|O21:2:0:1|O22:0:0:0|O23:2:1:2|O30:0:0:0|O31:2:0:1|O32:2:0:1|O33:2:1:2","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0016.trl"
"seeded-random-self-play","17","110016","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","195","1383","36","36","26","22","10","14","2","1","0","2","5","3","secured_objectives","S00:3:3:2|S01:2:1:2|S02:1:2:0|S03:1:1:0|S04:1:2:0|S10:1:1:0|S11:1:1:0|S12:2:0:1|S13:2:0:2|S14:2:0:2|S20:3:3:1|S21:1:2:0|S22:2:0:2|S23:0:0:0|S24:1:1:0|S30:0:1:1|S31:2:0:1|S32:1:2:0|S33:2:1:2|S34:1:2:0|S40:0:1:1|S41:0:0:0|S42:2:1:2|S43:4:1:3|S44:0:0:0|O00:2:1:2|O01:0:0:0|O02:1:1:0|O03:4:1:3|O10:1:1:0|O11:2:0:2|O12:2:0:2|O13:0:0:0|O20:1:1:0|O21:0:0:0|O22:1:2:1|O23:0:1:1|O30:0:0:0|O31:1:2:0|O32:4:0:3|O33:0:0:0","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0017.trl"
"seeded-random-self-play","18","110017","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","1","72","24","786","195","36","36","27","26","9","10","4","0","1","0","4","5","secured_objectives","S00:0:1:1|S01:0:1:1|S02:2:1:2|S03:0:0:0|S04:1:2:1|S10:1:2:1|S11:0:2:2|S12:2:0:1|S13:2:0:2|S14:2:0:1|S20:0:0:0|S21:2:1:2|S22:1:1:0|S23:0:0:0|S24:3:3:2|S30:3:3:1|S31:1:2:1|S32:2:0:1|S33:1:1:0|S34:2:0:1|S40:3:3:1|S41:2:0:1|S42:3:3:1|S43:2:1:2|S44:2:0:1|O00:2:0:2|O01:0:0:0|O02:0:0:0|O03:2:0:1|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:2:0:2|O20:1:1:0|O21:1:1:0|O22:2:0:1|O23:0:0:0|O30:3:3:0|O31:0:1:1|O32:1:1:0|O33:0:1:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0018.trl"
"seeded-random-self-play","19","110018","SeededRandom","SeededRandom","-1","-1.0","true","NaturalEnd","2","72","24","863","1495","36","36","24","21","12","15","1","2","1","2","6","6","secured_objectives","S00:2:0:2|S01:0:0:0|S02:2:0:1|S03:0:1:1|S04:1:2:0|S10:1:2:0|S11:1:1:0|S12:2:0:1|S13:0:0:0|S14:4:2:3|S20:3:3:0|S21:1:2:0|S22:2:0:1|S23:2:0:1|S24:0:1:1|S30:0:1:1|S31:4:2:3|S32:0:1:1|S33:2:0:1|S34:1:1:0|S40:2:1:2|S41:1:1:0|S42:0:0:0|S43:0:2:2|S44:1:1:0|O00:2:0:1|O01:2:0:1|O02:4:0:3|O03:2:0:2|O10:1:1:0|O11:2:1:2|O12:2:0:1|O13:4:0:3|O20:1:2:0|O21:1:1:0|O22:2:0:1|O23:1:1:0|O30:1:2:0|O31:1:1:0|O32:0:0:0|O33:3:3:1","experiments/issue-11/results/trials/seeded-random-self-play/seeded-random-self-play-0019.trl"
