experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-3000-self-play","3","24","2","2","S31","supply",""
"uct-3000-self-play","3","24","3","2","S00","supply",""
"uct-3000-self-play","4","1","1","1","S33","supply",""
"uct-3000-self-play","4","1","2","1","S22","supply",""
"uct-3000-self-play","4","1","3","1","S12","supply",""
"uct-3000-self-play","4","2","1","2","S11","supply",""
"uct-3000-self-play","4","2","2","2","S13","supply",""
"uct-3000-self-play","4","2","3","2","S31","supply",""
"uct-3000-self-play","4","3","1","1","S21","supply",""
"uct-3000-self-play","4","3","2","1","S32","supply",""
"uct-3000-self-play","4","3","3","1","O21","objective","S22"
"uct-3000-self-play","4","4","1","2","S01","supply",""
"uct-3000-self-play","4","4","2","2","S21","supply",""
"uct-3000-self-play","4","4","3","2","O01","objective","S11"
"uct-3000-self-play","4","5","1","1","O21","objective","S22"
"uct-3000-self-play","4","5","2","1","S11","supply",""
"uct-3000-self-play","4","5","3","1","O22","objective","S33"
"uct-3000-self-play","4","6","1","2","S11","supply",""
"uct-3000-self-play","4","6","2","2","O01","objective","S01"
"uct-3000-self-play","4","6","3","2","O20","objective","S31"
"uct-3000-self-play","4","7","1","1","O22","objective","S33"
"uct-3000-self-play","4","7","2","1","O21","objective","S22"
"uct-3000-self-play","4","7","3","1","O31","objective","S32"
"uct-3000-self-play","4","8","1","2","O20","objective","S31"
"uct-3000-self-play","4","8","2","2","O01","objective","S11"
"uct-3000-self-play","4","8","3","2","O00","objective","S01"
"uct-3000-self-play","4","9","1","1","O31","objective","S32"
"uct-3000-self-play","4","9","2","1","O22","objective","S33"
"uct-3000-self-play","4","9","3","1","S31","supply",""
"uct-3000-self-play","4","10","1","2","O00","objective","S01"
"uct-3000-self-play","4","10","2","2","O00","objective","S11"
"uct-3000-self-play","4","10","3","2","O13","objective","S13"
"uct-3000-self-play","4","11","1","1","O31","objective","S32"
"uct-3000-self-play","4","11","2","1","O12","objective","S22"
"uct-3000-self-play","4","11","3","1","O12","objective","S12"
"uct-3000-self-play","4","12","1","2","O03","objective","S13"
"uct-3000-self-play","4","12","2","2","S21","supply",""
"uct-3000-self-play","4","12","3","2","O10","objective","S11"
"uct-3000-self-play","4","13","1","1","O12","objective","S22"
"uct-3000-self-play","4","13","2","1","O23","objective","S33"
"uct-3000-self-play","4","13","3","1","S13","supply",""
"uct-3000-self-play","4","14","1","2","O10","objective","S21"
"uct-3000-self-play","4","14","2","2","O11","objective","S11"
"uct-3000-self-play","4","14","3","2","S21","supply",""
"uct-3000-self-play","4","15","1","1","O32","objective","S33"
"uct-3000-self-play","4","15","2","1","O02","objective","S12"
"uct-3000-self-play","4","15","3","1","O32","objective","S32"
"uct-3000-self-play","4","16","1","2","O11","objective","S11"
"uct-3000-self-play","4","16","2","2","O20","objective","S21"
"uct-3000-self-play","4","16","3","2","S34","supply",""
"uct-3000-self-play","4","17","1","1","O32","objective","S32"
"uct-3000-self-play","4","17","2","1","O33","objective","S33"
"uct-3000-self-play","4","17","3","1","S11","supply",""
"uct-3000-self-play","4","18","1","2","O11","objective","S21"
"uct-3000-self-play","4","18","2","2","O33","objective","S34"
"uct-3000-self-play","4","18","3","2","S24","supply",""
"uct-3000-self-play","4","19","1","1","O33","objective","S33"
"uct-3000-self-play","4","19","2","1","O02","objective","S12"
"uct-3000-self-play","4","19","3","1","S34","supply",""
"uct-3000-self-play","4","20","1","2","O23","objective","S24"
"uct-3000-self-play","4","20","2","2","O10","objective","S21"
"uct-3000-self-play","4","20","3","2","S34","supply",""
"uct-3000-self-play","4","21","1","1","O33","objective","S33"
"uct-3000-self-play","4","21","2","1","O02","objective","S12"
"uct-3000-self-play","4","21","3","1","S14","supply",""
"uct-3000-self-play","4","22","1","2","S44","supply",""
"uct-3000-self-play","4","22","2","2","S01","supply",""
"uct-3000-self-play","4","22","3","2","S13","supply",""
"uct-3000-self-play","4","23","1","1","S23","supply",""
"uct-3000-self-play","4","23","2","1","S24","supply",""
"uct-3000-self-play","4","23","3","1","S40","supply",""
"uct-3000-self-play","4","24","1","2","S33","supply",""
"uct-3000-self-play","4","24","2","2","S10","supply",""
"uct-3000-self-play","4","24","3","2","S32","supply",""
"uct-3000-self-play","5","1","1","1","S30","supply",""
"uct-3000-self-play","5","1","2","1","S11","supply",""
"uct-3000-self-play","5","1","3","1","S21","supply",""
"uct-3000-self-play","5","2","1","2","S23","supply",""
"uct-3000-self-play","5","2","2","2","S22","supply",""
"uct-3000-self-play","5","2","3","2","S11","supply",""
"uct-3000-self-play","5","3","1","1","O20","objective","S21"
"uct-3000-self-play","5","3","2","1","O20","objective","S30"
"uct-3000-self-play","5","3","3","1","S33","supply",""
"uct-3000-self-play","5","4","1","2","O12","objective","S23"
"uct-3000-self-play","5","4","2","2","S12","supply",""
"uct-3000-self-play","5","4","3","2","O21","objective","S22"
"uct-3000-self-play","5","5","1","1","O23","objective","S33"
"uct-3000-self-play","5","5","2","1","S22","supply",""
"uct-3000-self-play","5","5","3","1","O20","objective","S30"
"uct-3000-self-play","5","6","1","2","O12","objective","S23"
"uct-3000-self-play","5","6","2","2","S22","supply",""
"uct-3000-self-play","5","6","3","2","O11","objective","S12"
"uct-3000-self-play","5","7","1","1","S12","supply",""
"uct-3000-self-play","5","7","2","1","S22","supply",""
"uct-3000-self-play","5","7","3","1","O21","objective","S21"
"uct-3000-self-play","5","8","1","2","O12","objective","S23"
"uct-3000-self-play","5","8","2","2","S32","supply",""
"uct-3000-self-play","5","8","3","2","S22","supply",""
"uct-3000-self-play","5","9","1","1","O21","objective","S21"
"uct-3000-self-play","5","9","2","1","S32","supply",""
"uct-3000-self-play","5","9","3","1","S32","supply",""
"uct-3000-self-play","5","10","1","2","O21","objective","S22"
"uct-3000-self-play","5","10","2","2","S32","supply",""
"uct-3000-self-play","5","10","3","2","S21","supply",""
"uct-3000-self-play","5","11","1","1","S32","supply",""
"uct-3000-self-play","5","11","2","1","S31","supply",""
"uct-3000-self-play","5","11","3","1","O30","objective","S30"
"uct-3000-self-play","5","12","1","2","O21","objective","S22"
"uct-3000-self-play","5","12","2","2","S11","supply",""
"uct-3000-self-play","5","12","3","2","S13","supply",""
"uct-3000-self-play","5","13","1","1","O30","objective","S30"
"uct-3000-self-play","5","13","2","1","O30","objective","S31"
"uct-3000-self-play","5","13","3","1","O32","objective","S32"
"uct-3000-self-play","5","14","1","2","O11","objective","S11"
"uct-3000-self-play","5","14","2","2","O11","objective","S22"
"uct-3000-self-play","5","14","3","2","S33","supply",""
"uct-3000-self-play","5","15","1","1","O32","objective","S32"
"uct-3000-self-play","5","15","2","1","S34","supply",""
"uct-3000-self-play","5","15","3","1","O31","objective","S31"
"uct-3000-self-play","5","16","1","2","S12","supply",""
"uct-3000-self-play","5","16","2","2","O13","objective","S13"
"uct-3000-self-play","5","16","3","2","O01","objective","S11"
"uct-3000-self-play","5","17","1","1","O32","objective","S32"
"uct-3000-self-play","5","17","2","1","O31","objective","S31"
"uct-3000-self-play","5","17","3","1","O23","objective","S34"
"uct-3000-self-play","5","18","1","2","O01","objective","S12"
"uct-3000-self-play","5","18","2","2","O01","objective","S11"
"uct-3000-self-play","5","18","3","2","S34","supply",""
"uct-3000-self-play","5","19","1","1","O31","objective","S31"
"uct-3000-self-play","5","19","2","1","O22","objective","S32"
"uct-3000-self-play","5","19","3","1","S34","supply",""
"uct-3000-self-play","5","20","1","2","O22","objective","S22"
"uct-3000-self-play","5","20","2","2","O22","objective","S23"
"uct-3000-self-play","5","20","3","2","S34","supply",""
"uct-3000-self-play","5","21","1","1","O22","objective","S32"
"uct-3000-self-play","5","21","2","1","S23","supply",""
"uct-3000-self-play","5","21","3","1","S34","supply",""
"uct-3000-self-play","5","22","1","2","O22","objective","S22"
"uct-3000-self-play","5","22","2","2","S14","supply",""
"uct-3000-self-play","5","22","3","2","S33","supply",""
"uct-3000-self-play","5","23","1","1","O33","objective","S34"
"uct-3000-self-play","5","23","2","1","S40","supply",""
"uct-3000-self-play","5","23","3","1","S02","supply",""
"uct-3000-self-play","5","24","1","2","S20","supply",""
"uct-3000-self-play","5","24","2","2","S31","supply",""
"uct-3000-self-play","5","24","3","2","S31","supply",""
"uct-3000-self-play","6","1","1","1","S33","supply",""
"uct-3000-self-play","6","1","2","1","S40","supply",""
"uct-3000-self-play","6","1","3","1","S21","supply",""
"uct-3000-self-play","6","2","1","2","S30","supply",""
"uct-3000-self-play","6","2","2","2","S34","supply",""
"uct-3000-self-play","6","2","3","2","S22","supply",""
"uct-3000-self-play","6","3","1","1","S10","supply",""
"uct-3000-self-play","6","3","2","1","O11","objective","S21"
"uct-3000-self-play","6","3","3","1","S12","supply",""
"uct-3000-self-play","6","4","1","2","S20","supply",""
"uct-3000-self-play","6","4","2","2","S11","supply",""
"uct-3000-self-play","6","4","3","2","O30","objective","S30"
"uct-3000-self-play","6","5","1","1","O11","objective","S12"
"uct-3000-self-play","6","5","2","1","O11","objective","S21"
"uct-3000-self-play","6","5","3","1","S23","supply",""
"uct-3000-self-play","6","6","1","2","O30","objective","S30"
"uct-3000-self-play","6","6","2","2","O20","objective","S20"
"uct-3000-self-play","6","6","3","2","S23","supply",""
"uct-3000-self-play","6","7","1","1","S30","supply",""
"uct-3000-self-play","6","7","2","1","S12","supply",""
"uct-3000-self-play","6","7","3","1","O33","objective","S33"
"uct-3000-self-play","6","8","1","2","O00","objective","S11"
"uct-3000-self-play","6","8","2","2","S31","supply",""
"uct-3000-self-play","6","8","3","2","O20","objective","S20"
"uct-3000-self-play","6","9","1","1","O33","objective","S33"
"uct-3000-self-play","6","9","2","1","O10","objective","S21"
"uct-3000-self-play","6","9","3","1","S44","supply",""
"uct-3000-self-play","6","10","1","2","O30","objective","S31"
"uct-3000-self-play","6","10","2","2","O20","objective","S20"
"uct-3000-self-play","6","10","3","2","O12","objective","S22"
"uct-3000-self-play","6","11","1","1","O10","objective","S21"
"uct-3000-self-play","6","11","2","1","O10","objective","S10"
"uct-3000-self-play","6","11","3","1","O33","objective","S33"
"uct-3000-self-play","6","12","1","2","O00","objective","S11"
"uct-3000-self-play","6","12","2","2","O12","objective","S22"
"uct-3000-self-play","6","12","3","2","S13","supply",""
"uct-3000-self-play","6","13","1","1","O32","objective","S33"
"uct-3000-self-play","6","13","2","1","S11","supply",""
"uct-3000-self-play","6","13","3","1","O21","objective","S21"
"uct-3000-self-play","6","14","1","2","O12","objective","S22"
"uct-3000-self-play","6","14","2","2","O31","objective","S31"
"uct-3000-self-play","6","14","3","2","S23","supply",""
"uct-3000-self-play","6","15","1","1","O32","objective","S33"
"uct-3000-self-play","6","15","2","1","S32","supply",""
"uct-3000-self-play","6","15","3","1","O21","objective","S21"
"uct-3000-self-play","6","16","1","2","O31","objective","S31"
"uct-3000-self-play","6","16","2","2","O13","objective","S23"
"uct-3000-self-play","6","16","3","2","O13","objective","S13"
"uct-3000-self-play","6","17","1","1","O32","objective","S33"
"uct-3000-self-play","6","17","2","1","O21","objective","S21"
"uct-3000-self-play","6","17","3","1","S31","supply",""
"uct-3000-self-play","6","18","1","2","O13","objective","S23"
"uct-3000-self-play","6","18","2","2","S00","supply",""
"uct-3000-self-play","6","18","3","2","S11","supply",""
"uct-3000-self-play","6","19","1","1","S00","supply",""
"uct-3000-self-play","6","19","2","1","S11","supply",""
"uct-3000-self-play","6","19","3","1","S20","supply",""
"uct-3000-self-play","6","20","1","2","S11","supply",""
"uct-3000-self-play","6","20","2","2","S41","supply",""
"uct-3000-self-play","6","20","3","2","S01","supply",""
"uct-3000-self-play","6","21","1","1","S01","supply",""
"uct-3000-self-play","6","21","2","1","S31","supply",""
"uct-3000-self-play","6","21","3","1","O01","objective","S12"
"uct-3000-self-play","6","22","1","2","O31","objective","S41"
"uct-3000-self-play","6","22","2","2","O00","objective","S11"
"uct-3000-self-play","6","22","3","2","S23","supply",""
"uct-3000-self-play","6","23","1","1","O23","objective","S33"
"uct-3000-self-play","6","23","2","1","S32","supply",""
"uct-3000-self-play","6","23","3","1","S02","supply",""
"uct-3000-self-play","6","24","1","2","S13","supply",""
"uct-3000-self-play","6","24","2","2","S04","supply",""
"uct-3000-self-play","6","24","3","2","S31","supply",""
"uct-3000-self-play","7","1","1","1","S22","supply",""
"uct-3000-self-play","7","1","2","1","S03","supply",""
"uct-3000-self-play","7","1","3","1","S12","supply",""
"uct-3000-self-play","7","2","1","2","S12","supply",""
"uct-3000-self-play","7","2","2","2","S13","supply",""
"uct-3000-self-play","7","2","3","2","S30","supply",""
"uct-3000-self-play","7","3","1","1","S33","supply",""
"uct-3000-self-play","7","3","2","1","O02","objective","S03"
"uct-3000-self-play","7","3","3","1","O12","objective","S22"
"uct-3000-self-play","7","4","1","2","O02","objective","S13"
"uct-3000-self-play","7","4","2","2","S12","supply",""
"uct-3000-self-play","7","4","3","2","S23","supply",""
"uct-3000-self-play","7","5","1","1","O12","objective","S22"
"uct-3000-self-play","7","5","2","1","O02","objective","S03"
"uct-3000-self-play","7","5","3","1","S13","supply",""
"uct-3000-self-play","7","6","1","2","S01","supply",""
"uct-3000-self-play","7","6","2","2","O02","objective","S12"
"uct-3000-self-play","7","6","3","2","S22","supply",""
"uct-3000-self-play","7","7","1","1","O02","objective","S03"
"uct-3000-self-play","7","7","2","1","S22","supply",""
"uct-3000-self-play","7","7","3","1","O23","objective","S33"
"uct-3000-self-play","7","8","1","2","O12","objective","S23"
"uct-3000-self-play","7","8","2","2","O01","objective","S01"
"uct-3000-self-play","7","8","3","2","O12","objective","S12"
"uct-3000-self-play","7","9","1","1","O12","objective","S22"
"uct-3000-self-play","7","9","2","1","S14","supply",""
"uct-3000-self-play","7","9","3","1","S03","supply",""
"uct-3000-self-play","7","10","1","2","S20","supply",""
"uct-3000-self-play","7","10","2","2","S13","supply",""
"uct-3000-self-play","7","10","3","2","S31","supply",""
"uct-3000-self-play","7","11","1","1","S31","supply",""
"uct-3000-self-play","7","11","2","1","O13","objective","S14"
"uct-3000-self-play","7","11","3","1","S11","supply",""
"uct-3000-self-play","7","12","1","2","O20","objective","S20"
"uct-3000-self-play","7","12","2","2","O01","objective","S01"
"uct-3000-self-play","7","12","3","2","O13","objective","S13"
"uct-3000-self-play","7","13","1","1","O11","objective","S11"
"uct-3000-self-play","7","13","2","1","O03","objective","S14"
"uct-3000-self-play","7","13","3","1","S10","supply",""
"uct-3000-self-play","7","14","1","2","O13","objective","S23"
