"board","experiment_id","game_index","checkpoint","turn_number","comparison_layer","leader","eventual_winner","outcome"
"6x6","6x6-seeded-random","1","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","1","0.25","12","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","1","0.25","12","full_lexicographic","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","1","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","1","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","1","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","1","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","1","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","1","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","1","0.9","44","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","1","0.9","44","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","1","0.9","44","full_lexicographic","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","2","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","2","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","2","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.9","44","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","2","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","2","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","3","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.5","24","secured","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","3","0.9","44","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","3","0.9","44","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","3","0.9","44","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","4","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","4","0.25","12","secured_advantage","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","4","0.25","12","full_lexicographic","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","4","0.5","24","secured","1","1","leader_won"
"6x6","6x6-seeded-random","4","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","4","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","4","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","4","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","4","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","4","0.9","44","secured","2","1","leader_lost"
"6x6","6x6-seeded-random","4","0.9","44","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","4","0.9","44","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","5","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","5","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","5","0.5","24","secured_advantage","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","5","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","5","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","6","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","6","0.25","12","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","6","0.25","12","full_lexicographic","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","6","0.5","24","secured","1","2","leader_lost"
"6x6","6x6-seeded-random","6","0.5","24","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","6","0.5","24","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","6","0.75","36","secured","1","2","leader_lost"
"6x6","6x6-seeded-random","6","0.75","36","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","6","0.75","36","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","6","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","6","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","6","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","7","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","7","0.25","12","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","7","0.25","12","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","7","0.5","24","secured","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","7","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","8","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","8","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","8","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","9","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","9","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.75","36","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","9","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","9","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","10","0.25","12","secured","2","1","leader_lost"
"6x6","6x6-seeded-random","10","0.25","12","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","10","0.25","12","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","10","0.5","24","secured","2","1","leader_lost"
"6x6","6x6-seeded-random","10","0.5","24","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","10","0.5","24","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","10","0.75","36","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","10","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","10","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","10","0.9","44","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","10","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","10","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","11","0.25","12","secured_advantage","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","11","0.25","12","full_lexicographic","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","11","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","11","0.5","24","secured_advantage","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","11","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","11","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","12","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","12","0.25","12","secured_advantage","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","12","0.25","12","full_lexicographic","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","12","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","12","0.5","24","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","12","0.5","24","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","12","0.75","36","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","12","0.75","36","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","12","0.75","36","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","12","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","12","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","12","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","13","0.25","12","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","13","0.25","12","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","13","0.5","24","secured","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","13","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","14","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","14","0.25","12","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","14","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","14","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","15","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","15","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.5","24","secured","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","15","0.9","44","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","15","0.9","44","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","15","0.9","44","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","16","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","16","0.25","12","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.5","24","secured","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","16","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","17","0.25","12","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","17","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","17","0.5","24","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","17","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","17","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","18","0.25","12","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","18","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.75","36","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","18","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.9","44","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","18","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","18","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","19","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","19","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","19","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","19","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","19","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","19","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","19","0.75","36","secured","2","1","leader_lost"
"6x6","6x6-seeded-random","19","0.75","36","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","19","0.75","36","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","19","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","19","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","19","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","20","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","20","0.25","12","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","20","0.25","12","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","20","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","20","0.5","24","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","20","0.5","24","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","20","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","20","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","20","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","20","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","20","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","20","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","21","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","21","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","21","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.75","36","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","21","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.9","44","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","21","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","21","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","22","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","22","0.25","12","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","22","0.25","12","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","22","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","22","0.5","24","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","22","0.5","24","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","22","0.75","36","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","22","0.75","36","secured_advantage","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","22","0.75","36","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","22","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","22","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","22","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","23","0.25","12","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","23","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.9","44","secured","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","23","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","24","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","24","0.25","12","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.25","12","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.5","24","secured","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.5","24","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.5","24","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.75","36","secured","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.75","36","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.75","36","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.9","44","secured","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.9","44","secured_advantage","1","2","leader_lost"
"6x6","6x6-seeded-random","24","0.9","44","full_lexicographic","1","2","leader_lost"
"6x6","6x6-seeded-random","25","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","25","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","25","0.5","24","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","25","0.5","24","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","25","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","25","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","26","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","26","0.25","12","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.5","24","secured","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.75","36","secured","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.75","36","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.75","36","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.9","44","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","26","0.9","44","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","26","0.9","44","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","27","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","27","0.25","12","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.25","12","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","27","0.5","24","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.5","24","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","27","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","28","0.25","12","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","28","0.25","12","secured_advantage","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","28","0.25","12","full_lexicographic","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","28","0.5","24","secured","0","1","tied_at_checkpoint"
"6x6","6x6-seeded-random","28","0.5","24","secured_advantage","2","1","leader_lost"
"6x6","6x6-seeded-random","28","0.5","24","full_lexicographic","2","1","leader_lost"
"6x6","6x6-seeded-random","28","0.75","36","secured","1","1","leader_won"
"6x6","6x6-seeded-random","28","0.75","36","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","28","0.75","36","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","28","0.9","44","secured","1","1","leader_won"
"6x6","6x6-seeded-random","28","0.9","44","secured_advantage","1","1","leader_won"
"6x6","6x6-seeded-random","28","0.9","44","full_lexicographic","1","1","leader_won"
"6x6","6x6-seeded-random","29","0.25","12","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","29","0.25","12","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","29","0.25","12","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","29","0.5","24","secured","0","2","tied_at_checkpoint"
"6x6","6x6-seeded-random","29","0.5","24","secured_advantage","2","2","leader_won"
"6x6","6x6-seeded-random","29","0.5","24","full_lexicographic","2","2","leader_won"
"6x6","6x6-seeded-random","29","0.75","36","secured","1","2","leader_lost"
