"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"7x7","7x7-seeded-random","seeded-random","1","2","2","1","8","2","1"
"7x7","7x7-seeded-random","seeded-random","2","4","4","1","5.25","3","0.75"
"7x7","7x7-seeded-random","seeded-random","3","1","1","1","3","1","1"
"7x7","7x7-seeded-random","seeded-random","4","5","5","1","8","5","1"
"7x7","7x7-seeded-random","seeded-random","5","3","2","0.6666666666666666","3.5","2","1"
"7x7","7x7-seeded-random","seeded-random","6","5","4","0.8","4.25","3","0.75"
"7x7","7x7-seeded-random","seeded-random","7","3","3","1","5","2","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","8","1","1","1","1","0","0"
"7x7","7x7-seeded-random","seeded-random","9","7","6","0.8571428571428571","9.333333333333334","6","1"
"7x7","7x7-seeded-random","seeded-random","10","4","4","1","8.75","4","1"
"7x7","7x7-seeded-random","seeded-random","11","4","3","0.75","3.3333333333333335","1","0.3333333333333333"
"7x7","7x7-seeded-random","seeded-random","12","4","4","1","8.75","4","1"
"7x7","7x7-seeded-random","seeded-random","13","1","1","1","3","1","1"
"7x7","7x7-seeded-random","seeded-random","14","1","1","1","14","1","1"
"7x7","7x7-seeded-random","seeded-random","15","3","2","0.6666666666666666","3","1","0.5"
"7x7","7x7-seeded-random","seeded-random","16","4","3","0.75","9","3","1"
"7x7","7x7-seeded-random","seeded-random","17","5","4","0.8","4","4","1"
"7x7","7x7-seeded-random","seeded-random","18","1","1","1","10","1","1"
"7x7","7x7-seeded-random","seeded-random","19","4","4","1","6.75","4","1"
"7x7","7x7-seeded-random","seeded-random","20","9","9","1","9.11111111111111","9","1"
"7x7","7x7-seeded-random","seeded-random","21","7","6","0.8571428571428571","10","6","1"
"7x7","7x7-seeded-random","seeded-random","22","1","1","1","7","1","1"
"7x7","7x7-seeded-random","seeded-random","23","7","6","0.8571428571428571","8.666666666666666","6","1"
"7x7","7x7-seeded-random","seeded-random","24","5","2","0.4","15","2","1"
"7x7","7x7-seeded-random","seeded-random","25","5","5","1","8","5","1"
"7x7","7x7-seeded-random","seeded-random","26","7","7","1","5.571428571428571","7","1"
"7x7","7x7-seeded-random","seeded-random","27","0","0","","","0",""
"7x7","7x7-seeded-random","seeded-random","28","7","5","0.7142857142857143","10.4","5","1"
"7x7","7x7-seeded-random","seeded-random","29","4","4","1","8.25","4","1"
"7x7","7x7-seeded-random","seeded-random","30","5","4","0.8","4","3","0.75"
"7x7","7x7-seeded-random","seeded-random","31","1","1","1","3","1","1"
"7x7","7x7-seeded-random","seeded-random","32","13","11","0.8461538461538461","10.727272727272727","11","1"
"7x7","7x7-seeded-random","seeded-random","33","3","2","0.6666666666666666","5","2","1"
"7x7","7x7-seeded-random","seeded-random","34","10","7","0.7","11","6","0.8571428571428571"
"7x7","7x7-seeded-random","seeded-random","35","3","2","0.6666666666666666","4","2","1"
"7x7","7x7-seeded-random","seeded-random","36","4","3","0.75","6.333333333333333","3","1"
"7x7","7x7-seeded-random","seeded-random","37","4","3","0.75","6.333333333333333","3","1"
"7x7","7x7-seeded-random","seeded-random","38","5","4","0.8","6.25","4","1"
"7x7","7x7-seeded-random","seeded-random","39","2","1","0.5","2","0","0"
"7x7","7x7-seeded-random","seeded-random","40","2","2","1","3.5","2","1"
"7x7","7x7-seeded-random","seeded-random","41","9","9","1","13.88888888888889","7","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","42","5","3","0.6","9.333333333333334","3","1"
"7x7","7x7-seeded-random","seeded-random","43","5","3","0.6","5","3","1"
"7x7","7x7-seeded-random","seeded-random","44","4","1","0.25","8","1","1"
"7x7","7x7-seeded-random","seeded-random","45","2","2","1","13","1","0.5"
"7x7","7x7-seeded-random","seeded-random","46","1","1","1","7","1","1"
"7x7","7x7-seeded-random","seeded-random","47","5","2","0.4","7","2","1"
"7x7","7x7-seeded-random","seeded-random","48","1","1","1","10","1","1"
"7x7","7x7-seeded-random","seeded-random","49","7","5","0.7142857142857143","8","5","1"
"7x7","7x7-seeded-random","seeded-random","50","0","0","","","0",""
"7x7","7x7-seeded-random","seeded-random","51","2","2","1","5.5","2","1"
"7x7","7x7-seeded-random","seeded-random","52","2","2","1","4","2","1"
"7x7","7x7-seeded-random","seeded-random","53","4","3","0.75","5.333333333333333","2","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","54","3","3","1","10.666666666666666","3","1"
"7x7","7x7-seeded-random","seeded-random","55","0","0","","","0",""
"7x7","7x7-seeded-random","seeded-random","56","3","3","1","7.333333333333333","3","1"
"7x7","7x7-seeded-random","seeded-random","57","4","4","1","8.25","3","0.75"
"7x7","7x7-seeded-random","seeded-random","58","3","0","0","","0",""
"7x7","7x7-seeded-random","seeded-random","59","2","2","1","11.5","2","1"
"7x7","7x7-seeded-random","seeded-random","60","3","3","1","20.666666666666668","3","1"
"7x7","7x7-seeded-random","seeded-random","61","4","4","1","5.5","2","0.5"
"7x7","7x7-seeded-random","seeded-random","62","4","4","1","6.25","4","1"
"7x7","7x7-seeded-random","seeded-random","63","3","3","1","7","3","1"
"7x7","7x7-seeded-random","seeded-random","64","6","6","1","7.166666666666667","6","1"
"7x7","7x7-seeded-random","seeded-random","65","2","2","1","17.5","2","1"
"7x7","7x7-seeded-random","seeded-random","66","1","1","1","32","1","1"
"7x7","7x7-seeded-random","seeded-random","67","2","2","1","4.5","2","1"
"7x7","7x7-seeded-random","seeded-random","68","3","3","1","11.666666666666666","3","1"
"7x7","7x7-seeded-random","seeded-random","69","6","5","0.8333333333333334","11.2","5","1"
"7x7","7x7-seeded-random","seeded-random","70","3","3","1","5.666666666666667","2","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","71","2","1","0.5","17","1","1"
"7x7","7x7-seeded-random","seeded-random","72","8","8","1","6.375","6","0.75"
"7x7","7x7-seeded-random","seeded-random","73","3","3","1","2.3333333333333335","2","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","74","7","5","0.7142857142857143","6.6","4","0.8"
"7x7","7x7-seeded-random","seeded-random","75","6","5","0.8333333333333334","9.8","5","1"
"7x7","7x7-seeded-random","seeded-random","76","1","1","1","6","1","1"
"7x7","7x7-seeded-random","seeded-random","77","3","2","0.6666666666666666","11","2","1"
"7x7","7x7-seeded-random","seeded-random","78","1","1","1","2","0","0"
"7x7","7x7-seeded-random","seeded-random","79","3","3","1","6","2","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","80","4","4","1","5.25","3","0.75"
"7x7","7x7-seeded-random","seeded-random","81","3","3","1","11.333333333333334","3","1"
"7x7","7x7-seeded-random","seeded-random","82","4","3","0.75","15","3","1"
"7x7","7x7-seeded-random","seeded-random","83","6","6","1","6.666666666666667","6","1"
"7x7","7x7-seeded-random","seeded-random","84","9","7","0.7777777777777778","7.571428571428571","6","0.8571428571428571"
"7x7","7x7-seeded-random","seeded-random","85","1","1","1","7","1","1"
"7x7","7x7-seeded-random","seeded-random","86","3","3","1","3","2","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","87","6","6","1","17","5","0.8333333333333334"
"7x7","7x7-seeded-random","seeded-random","88","2","2","1","5","2","1"
"7x7","7x7-seeded-random","seeded-random","89","5","2","0.4","18.5","2","1"
