"board","experiment_id","search_level","game_index","threshold","region","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","revisit_lag","normalized_revisit_lag","right_censored"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","1","5","0.10416666666666667","6","8","persistent_revisit","8","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","2","11","0.22916666666666666","12","18","reactivation_revisit","18","7","0.14583333333333334","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","3","19","0.3958333333333333","20","23","reactivation_revisit","23","4","0.08333333333333333","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","4","25","0.5208333333333334","26","28","persistent_revisit","28","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","5","29","0.6041666666666666","30","32","persistent_revisit","32","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","6","33","0.6875","34","36","persistent_revisit","36","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","7","39","0.8125","40","45","reactivation_revisit","45","6","0.125","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LM","8","46","0.9583333333333334","47","48","right_censored","","","","true"
"7x7","7x7-seeded-random","seeded-random","1","2","LH","1","6","0.125","7","8","persistent_revisit","8","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LH","2","9","0.1875","10","12","persistent_revisit","12","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LH","3","21","0.4375","22","35","reactivation_revisit","35","14","0.2916666666666667","false"
"7x7","7x7-seeded-random","seeded-random","1","2","LH","4","36","0.75","37","47","reactivation_revisit","47","11","0.22916666666666666","false"
"7x7","7x7-seeded-random","seeded-random","1","2","ML","1","18","0.375","19","24","reactivation_revisit","24","6","0.125","false"
"7x7","7x7-seeded-random","seeded-random","1","2","ML","2","25","0.5208333333333334","26","30","reactivation_revisit","30","5","0.10416666666666667","false"
"7x7","7x7-seeded-random","seeded-random","1","2","ML","3","37","0.7708333333333334","38","40","persistent_revisit","40","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","ML","4","41","0.8541666666666666","42","43","persistent_revisit","43","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","ML","5","44","0.9166666666666666","45","48","reactivation_revisit","48","4","0.08333333333333333","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","1","7","0.14583333333333334","8","10","persistent_revisit","10","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","2","19","0.3958333333333333","20","26","reactivation_revisit","26","7","0.14583333333333334","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","3","27","0.5625","28","29","persistent_revisit","29","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","4","34","0.7083333333333334","35","36","persistent_revisit","36","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","5","37","0.7708333333333334","38","40","persistent_revisit","40","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","6","41","0.8541666666666666","42","46","reactivation_revisit","46","5","0.10416666666666667","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MM","7","47","0.9791666666666666","48","48","right_censored","","","","true"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","1","4","0.08333333333333333","5","6","persistent_revisit","6","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","2","7","0.14583333333333334","8","11","reactivation_revisit","11","4","0.08333333333333333","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","3","14","0.2916666666666667","15","16","persistent_revisit","16","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","4","17","0.3541666666666667","18","20","persistent_revisit","20","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","5","21","0.4375","22","27","reactivation_revisit","27","6","0.125","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","6","28","0.5833333333333334","29","33","reactivation_revisit","33","5","0.10416666666666667","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","7","38","0.7916666666666666","39","43","reactivation_revisit","43","5","0.10416666666666667","false"
"7x7","7x7-seeded-random","seeded-random","1","2","MH","8","44","0.9166666666666666","45","47","persistent_revisit","47","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","HL","1","10","0.20833333333333334","11","12","persistent_revisit","12","2","0.041666666666666664","false"
"7x7","7x7-seeded-random","seeded-random","1","2","HL","2","15","0.3125","16","22","reactivation_revisit","22","7","0.14583333333333334","false"
"7x7","7x7-seeded-random","seeded-random","1","2","HL","3","23","0.4791666666666667","24","26","persistent_revisit","26","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","HL","4","31","0.6458333333333334","32","34","persistent_revisit","34","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","HL","5","35","0.7291666666666666","36","38","persistent_revisit","38","3","0.0625","false"
"7x7","7x7-seeded-random","seeded-random","1","2","HL","6","45","0.9375","46","48","right_censored","","","","true"
