"board","experiment_id","search_level","game_index","checkpoint","turn_number","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"7x7","7x7-seeded-random","seeded-random","1","0.25","12","0.8055555555555556","0","0","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","1","0.5","24","0.75","0","0","0.6577324383928642","0.3333333333333333","0.26388888888888884","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","1","0.75","36","0.6388888888888888","1","0","0.8481973151785929","0.25","0.16666666666666669","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","1","0.9","44","0.6136363636363636","3","3","0.6481494572909344","0.4166666666666667","0.27777777777777773","0.5555555555555556"
"7x7","7x7-seeded-random","seeded-random","2","0.25","12","0.7777777777777778","1","0","0.7007269367552227","0.4166666666666667","0.26388888888888884","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","0.5","24","0.6944444444444444","2","1","0.8283522741071695","0.25","0.18055555555555558","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","2","0.75","36","0.6388888888888888","3","2","0.7430423562500169","0.3333333333333333","0.22222222222222224","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","2","0.9","44","0.6439393939393939","6","3","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","3","0.25","12","0.75","0","1","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","3","0.5","24","0.7361111111111112","0","1","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","3","0.75","36","0.7222222222222222","1","2","0.8257269367552226","0.4166666666666667","0.22222222222222227","0.8888888888888888"
"7x7","7x7-seeded-random","seeded-random","3","0.9","44","0.6893939393939394","2","2","0.562839539433782","0.4166666666666667","0.3194444444444444","0.4444444444444444"
"7x7","7x7-seeded-random","seeded-random","4","0.25","12","0.8055555555555556","1","0","0.775774794642881","0.25","0.19444444444444442","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","4","0.5","24","0.7083333333333334","1","0","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7","7x7-seeded-random","seeded-random","4","0.75","36","0.6759259259259259","2","0","0.9533522741071694","0.25","0.1388888888888889","1"
"7x7","7x7-seeded-random","seeded-random","4","0.9","44","0.6590909090909091","4","2","0.8154648767857287","0.3333333333333333","0.19444444444444445","0.7777777777777778"
"7x7","7x7-seeded-random","seeded-random","5","0.25","12","0.7777777777777778","0","0","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
